rec_id	event_id	Rec	parent	parent_type	unknown	domain	similarity
16	96	NOV_Cry19Ba1_74.0_AGV55021.1	BT_Cry19Ca1	major	no	domain3	62.3246492985972
23	2	NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1A-like;NOV_Cry1Ad2_87.7_AIW52617.1	minor	no	domain3	83.7679043248505
23	2	NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1Da1;BT_Cry1Db1;NOV_Cry1Da1_83.2_AIW52615.1	major	no	domain2	82.89169767310588
23	2	NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1Da1;BT_Cry1Db1;NOV_Cry1Da1_83.2_AIW52615.1	major	no	domain1	65.22588555787753
67	104	NOV_Cry21Aa2_44.6_AZR80772.1	BT_Cry21Aa1;BT_Cry21Ba1	minor	no	domain3	57.7279314472938
67	104	NOV_Cry21Aa2_44.6_AZR80772.1	BT_Cry21Fa1	major	yes	domain2	-50.571791613723
67	104	NOV_Cry21Aa2_44.6_AZR80772.1	BT_Cry21Fa1	major	yes	domain1	-51.3793103448276
65	46	NOV_Cry24Aa1_98.3_WP_086403584.1	NOV_Cry41Ca1_50.4_AZJ24166.1	minor	no	domain3	61.0337972166998
65	46	NOV_Cry24Aa1_98.3_WP_086403584.1	NOV_Cry24Aa1_60.8_BAD32657.1	major	no	domain1	81.78807947019871
65	46	NOV_Cry24Aa1_98.3_WP_086403584.1	NOV_Cry24Aa1_60.8_BAD32657.1	major	no	domain2	77.1428571428572
5	95	NOV_Cry2Ab4_93.2_AIT70915.1	BT_Cry2Al1	minor	no	domain1	96.1148648648649
5	95	NOV_Cry2Ab4_93.2_AIT70915.1	BT_Cry2Ab15;BT_Cry2Ag1	major	no	domain2	94.469441319835
5	95	NOV_Cry2Ab4_93.2_AIT70915.1	BT_Cry2Ab15;BT_Cry2Ag1	major	no	domain3	92.52994393476044
15	92	NOV_Cry2Ak1_76.8_AX513524.1	BT_Cry2Ba2	minor	no	domain1	89.6039603960396
15	92	NOV_Cry2Ak1_76.8_AX513524.1	BT_Cry2Aa3;BT_Cry2Ab12;BT_Cry2Ab15;BT_Cry2Ad5;BT_Cry2Af1;BT_Cry2Ag1;BT_Cry2Ah3;BT_Cry2Ak1;BT_Cry2Al1;NOV_Cry2Ab4_93.2_AIT70915.1;NOV_Cry2Ah2_92.7_AX098631.1	major	yes	domain2	-62.426207368918256
15	92	NOV_Cry2Ak1_76.8_AX513524.1	BT_Cry2Aa3;BT_Cry2Ab12;BT_Cry2Ab15;BT_Cry2Ad5;BT_Cry2Af1;BT_Cry2Ag1;BT_Cry2Ah3;BT_Cry2Ak1;BT_Cry2Al1;NOV_Cry2Ab4_93.2_AIT70915.1;NOV_Cry2Ah2_92.7_AX098631.1	major	yes	domain3	-80.36877434039391
89	12	NOV_Cry30Ca1_66.6_BAD00052.1	BT_Cry50Ba1;NOV_Cry4Ba1_63.7_AJW76684.1	minor	yes	domain3	-53.8735555162212
89	12	NOV_Cry30Ca1_66.6_BAD00052.1	BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Fa1	major	no	domain2	77.23790064074035
89	12	NOV_Cry30Ca1_66.6_BAD00052.1	BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1;BT_Cry30Fa1	major	no	domain1	72.18901180542572
83	15	NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry50Aa1;BT_Cry50Ba1	minor	yes	domain3	-51.687105565117605
83	15	NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry30Da1;BT_Cry30Db1;BT_Cry30Ga1	major	no	domain1	84.342867607057
83	15	NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry30Da1;BT_Cry30Db1;BT_Cry30Ga1	major	no	domain2	74.61946696612229
48	75	NOV_Cry32Ta1_48.0_AQX37180.1	BT_Cry32Qa1	minor	no	domain1	68.9393939393939
48	75	NOV_Cry32Ta1_48.0_AQX37180.1	BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1	major	no	domain2	56.18569573469185
48	75	NOV_Cry32Ta1_48.0_AQX37180.1	BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1	major	no	domain3	54.61209741861515
92	76	NOV_Cry3Aa12_81.9_AEZ53144.1	BT_Cry3Ba1;BT_Cry3Bb1	minor	yes	domain1	-62.151198354001
92	76	NOV_Cry3Aa12_81.9_AEZ53144.1	BT_Cry3Aa10	major	no	domain3	99.017199017199
92	76	NOV_Cry3Aa12_81.9_AEZ53144.1	BT_Cry3Aa10	major	no	domain2	80.8544303797468
74	18	NOV_Cry40Aa1_67.9_CQ868314.1	BT_Cry52Aa1;BT_Cry52Ba1	minor	yes	domain3	-48.168904266465255
74	18	NOV_Cry40Aa1_67.9_CQ868314.1	BT_Cry40Aa1	major	no	domain1	89.3408134642356
74	18	NOV_Cry40Aa1_67.9_CQ868314.1	BT_Cry40Aa1	major	no	domain2	77.4390243902439
7	45	NOV_Cry40Da1_65.0_CAH33957.1	NOV_Cry40Da1_66.9_PEU78339.1	minor	no	domain1	95.30516431924879
7	103	NOV_Cry40Da1_65.0_CAH33957.1	NOV_Cry40Da1_66.9_PEU78339.1	minor	yes	domain3	-66.0377358490566
7	45	NOV_Cry40Da1_65.0_CAH33957.1	BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1	major	no	domain2	84.21261156059725
50	27	NOV_Cry41Ba2_43.6_BAD35163.1	NOV_Cry32Ma1_57.7_AXY11484.1	minor	no	domain3	68.7128712871287
50	27	NOV_Cry41Ba2_43.6_BAD35163.1	NOV_Cry41Ba2_47.9_BAD35157.1	major	no	domain1	100.0
50	27	NOV_Cry41Ba2_43.6_BAD35163.1	NOV_Cry41Ba2_47.9_BAD35157.1	major	no	domain2	98.69494290375201
10	13	NOV_Cry4Ba1_63.7_AJW76684.1	BT_Cry50Ba1	minor	no	domain3	92.76859504132229
10	13	NOV_Cry4Ba1_63.7_AJW76684.1	NOV_Cry4Ba1_63.8_OUB35623.1	major	no	domain2	91.2820512820513
10	13	NOV_Cry4Ba1_63.7_AJW76684.1	NOV_Cry4Ba1_63.8_OUB35623.1	major	no	domain1	90.1538461538462
33	78	NOV_Cry56Aa2_56.0_AGV55019.1	NOV_Cry56Aa4_56.4_PEU80288.1	minor	no	domain1	77.3913043478261
33	78	NOV_Cry56Aa2_56.0_AGV55019.1	BT_Cry56Aa1;NOV_Cry56Aa4_77.6_ARJ25668.1;NOV_Cry56Aa4_79.3_WP_103592286.1	major	no	domain2	74.16119159534867
33	78	NOV_Cry56Aa2_56.0_AGV55019.1	BT_Cry56Aa1;NOV_Cry56Aa4_77.6_ARJ25668.1;NOV_Cry56Aa4_79.3_WP_103592286.1	major	no	domain3	63.49757074840554
63	109	NOV_Cry69Ab1_58.0_PEU83535.1	BT_Cry69Aa1;BT_Cry69Ab1	minor	no	domain3	61.64868621351515
63	109	NOV_Cry69Ab1_58.0_PEU83535.1	NOV_Cry69Aa2_62.7_WP_103591151.1	major	no	domain1	73.3137829912023
63	109	NOV_Cry69Ab1_58.0_PEU83535.1	NOV_Cry69Aa2_62.7_WP_103591151.1	major	no	domain2	62.8571428571429
21	3	NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ac1	minor	no	domain3	86.91796008869179
21	3	NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ba1	major	no	domain1	88.92405063291142
21	3	NOV_Cry7Ba1_84.3_AFI42043.1	BT_Cry7Ba1	major	no	domain2	87.7218934911243
29	10	NOV_Cry7Ca1_86.8_AGM39664.1	BT_Cry7Ha1	minor	no	domain3	80.2494802494803
29	10	NOV_Cry7Ca1_86.8_AGM39664.1	NOV_Cry7Ca1_99.7_ABR67863.2	major	no	domain2	99.37304075235109
29	10	NOV_Cry7Ca1_86.8_AGM39664.1	NOV_Cry7Ca1_99.7_ABR67863.2	major	no	domain1	99.3453355155483
72	112	NOV_Cry7Ea2_99.9_AFI42038.1	NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1	minor	no	domain3	52.506264801454
72	112	NOV_Cry7Ea2_99.9_AFI42038.1	NOV_Cry7Ca1_99.7_ABR67863.2	major	no	domain1	78.8546255506608
72	112	NOV_Cry7Ea2_99.9_AFI42038.1	NOV_Cry7Ca1_99.7_ABR67863.2	major	no	domain2	75.86206896551721
75	86	NOV_Cry7Fb2_99.7_AHB36886.1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ad2_87.7_AIW52617.1	minor	yes	domain3	-49.29248264858388
75	86	NOV_Cry7Fb2_99.7_AHB36886.1	BT_Cry7Fa1	major	no	domain2	81.31386861313871
75	86	NOV_Cry7Fb2_99.7_AHB36886.1	BT_Cry7Fa1	major	no	domain1	80.0859598853868
51	84	NOV_Cry8Aa1_47.1_EEM92570.1	BT_Cry8Ea2	minor	no	domain1	68.4357541899441
51	84	NOV_Cry8Aa1_47.1_EEM92570.1	NOV_Cry8Da1_43.7_ANC11094.1	major	no	domain2	56.144578313253
51	84	NOV_Cry8Aa1_47.1_EEM92570.1	NOV_Cry8Da1_43.7_ANC11094.1	major	no	domain3	52.0905923344948
60	49	NOV_Cry8Ab1_80.0_AMR06151.1	BT_Cry8Ra1	minor	no	domain3	63.3136094674556
60	49	NOV_Cry8Ab1_80.0_AMR06151.1	BT_Cry8Ab1	major	no	domain2	93.2944606413994
60	49	NOV_Cry8Ab1_80.0_AMR06151.1	BT_Cry8Ab1	major	no	domain1	89.4984326018809
82	33	NOV_Cry8Ab1_80.3_AFP44678.1	BT_Cry8Fa2;BT_Cry8Qa1	minor	yes	domain3	-51.498545859114245
82	33	NOV_Cry8Ab1_80.3_AFP44678.1	BT_Cry8Ab1;BT_Cry8Ac1;NOV_Cry8Ab1_80.0_AMR06151.1	major	no	domain1	91.782744717756
82	33	NOV_Cry8Ab1_80.3_AFP44678.1	BT_Cry8Ab1;BT_Cry8Ac1;NOV_Cry8Ab1_80.0_AMR06151.1	major	no	domain2	88.60329663109083
61	118	NOV_Cry8Db1_51.1_PNK22955.1	NOV_Cry8Ja1_60.3_PEE68563.1	minor	no	domain1	62.6702997275204
61	118	NOV_Cry8Db1_51.1_PNK22955.1	BT_Cry7Bb1;NOV_Cry7Ba1_84.3_AFI42043.1	major	no	domain3	52.10991577016095
61	118	NOV_Cry8Db1_51.1_PNK22955.1	BT_Cry7Bb1;NOV_Cry7Ba1_84.3_AFI42043.1	major	no	domain2	51.147165679589904
81	91	NOV_Cry8Ja1_60.3_PEE68563.1	BT_Cry8Da1	minor	yes	domain3	-51.356238698010905
81	91	NOV_Cry8Ja1_60.3_PEE68563.1	BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1	major	no	domain1	61.26676693665432
81	91	NOV_Cry8Ja1_60.3_PEE68563.1	BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1	major	no	domain2	55.71327567821358
71	66	NOV_Cry8Kb1_73.3_APT36283.1	BT_Cry8Ad1;BT_Cry8Ra1	minor	no	domain3	53.03059790905165
71	66	NOV_Cry8Kb1_73.3_APT36283.1	BT_Cry8Ka1;BT_Cry8Ka3	major	no	domain1	86.3045173980872
71	66	NOV_Cry8Kb1_73.3_APT36283.1	BT_Cry8Ka1;BT_Cry8Ka3	major	no	domain2	80.1675977653631
44	52	NOV_Cry9Ga1_57.2_PEU81077.1	BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1;NOV_Cry68Aa1_80.1_PEU91245.1	minor	no	domain3	70.6799678935902
44	52	NOV_Cry9Ga1_57.2_PEU81077.1	NOV_Cry9Ga1_58.0_AJS57594.1	major	no	domain2	73.4439834024896
44	52	NOV_Cry9Ga1_57.2_PEU81077.1	NOV_Cry9Ga1_58.0_AJS57594.1	major	no	domain1	71.8367346938775
