ID,Type,Mode,Same_flag,Recs,Rec_hosts,Mins,Min_hots,Majs,Maj_hosts
,,,,,,,,,Ostrinia nubilalis (Lepidoptera)
,,,,,,,,,Pectinophora gossypiella (Lepidoptera)
,,,,,,,,,Plutella xylostella (Lepidoptera)
,,,,,,,,,Spodoptera exigua (Lepidoptera)
,,,,,,,,,Spodoptera frugiperda (Lepidoptera)
,,,,,,,,,Trichoplusia ni (Lepidoptera)
,,,,,,,,BT_Cry1Nb1,Anticarsia gemmatalis (Lepidoptera)
,,,,,,,,,Diatraea grandiosella (Lepidoptera)
,,,,,,,,,Ostrinia nubilalis (Lepidoptera)
,,,,,,,,,Plutella xylostella (Lepidoptera)
73,domain3,Strains_add,Same,BT_Cry13Aa1,Bursaphelenchus xylophilus (Nematoda),NOV_Cry13Aa1_50.1_ANS46780.1 (G25-44; MYBT18246),Caenorhabditis elegans (Nematoda),,
,,,,,Panagrellus redivivus (Nematoda),,,,
87,domain1,Strains_add,Different,BT_Cry1Be1,Helicoverpa zea (Lepidoptera),BT_Cry1Ba1,Acanthoscelides obtectus  (Coleoptera),BT_Cry1Bb1,Chrysodeixis includens (Lepidoptera)
,,,,,Heliothis virescens (Lepidoptera),,Anthonomus grandis (Coleoptera),,Lymantria dispar (Lepidoptera)
,,,,,Ostrinia nubilalis (Lepidoptera),,Anticarsia gemmatalis (Lepidoptera),,Manduca sexta (Lepidoptera)
,,,,,Plutella xylostella (Lepidoptera),,Cacyreus marshalli (Lepidoptera),,Ostrinia nubilalis (Lepidoptera)
,,,,,Spodoptera exigua (Lepidoptera),,Chilo suppressalis (Lepidoptera),,Plutella xylostella (Lepidoptera)
,,,,,Spodoptera frugiperda (Lepidoptera),,Choristoneura fumiferana (Lepidoptera),,Spodoptera exigua (Lepidoptera)
,,,,,Trichoplusia ni (Lepidoptera),,Chrysodeixis includens (Lepidoptera),,Spodoptera frugiperda (Lepidoptera)
,,,,BT_Cry1Bj1,Anticarsia gemmatalis (Lepidoptera),,Chrysomela scripta (Coleoptera),,Trichoplusia ni (Lepidoptera)
,,,,,Chrysodeixis includens (Lepidoptera),,Conopomorpha cramerella (Lepidoptera),,
,,,,,Ostrinia nubilalis (Lepidoptera),,Cydia pomonella (Lepidoptera),,
,,,,,,,Diaphorina citri (Hemiptera),,
,,,,,,,Diatraea grandiosella (Lepidoptera),,
,,,,,,,Diatraea saccharalis (Lepidoptera),,
,,,,,,,Earias insulana (Lepidoptera),,
,,,,,,,Epinotia aporema (Lepidoptera),,
,,,,,,,Epiphyas postvittana (Lepidoptera),,
,,,,,,,Hypothenemus hampei (Coleoptera),,
,,,,,,,Leptinotarsa decemlineata (Coleoptera),,
,,,,,,,Lucilia cuprina (Diptera),,
,,,,,,,Lucilia sericata (Diptera),,
,,,,,,,Malacosoma disstria (Lepidoptera),,
,,,,,,,Manduca sexta (Lepidoptera),,
,,,,,,,Musca domestica (Diptera),,
,,,,,,,Ostrinia nubilalis (Lepidoptera),,
,,,,,,,Perileucoptera coffeella (Lepidoptera),,
,,,,,,,Phthorimaea operculella (Lepidoptera),,
,,,,,,,Pieris brassicae (Lepidoptera),,
,,,,,,,Pieris rapae (Lepidoptera),,
,,,,,,,Plutella xylostella (Lepidoptera),,
,,,,,,,Sesamia inferens (Lepidoptera),,
,,,,,,,Spodoptera frugiperda (Lepidoptera),,
,,,,,,,Thaumetopoea pityocampa (Lepidoptera),,
,,,,,,,Wiseana cervinata (Lepidoptera),,
,,,,,,,Wiseana copularis (Lepidoptera),,
,,,,,,,Wiseana jocosa (Lepidoptera),,
,,,,,,,Xylotrechus arvicola (Coleoptera),,
,,,,,,BT_Cry1Bf1,Heliothis virescens (Lepidoptera),,
,,,,,,,Ostrinia furnacalis (Lepidoptera),,
,,,,,,,Ostrinia nubilalis (Lepidoptera),,
,,,,,,,Plutella xylostella (Lepidoptera),,
,,,,,,,Sesamia nonagrioides (Lepidoptera),,
,,,,,,,Trichoplusia ni (Lepidoptera),,
95,domain1,Strains_add,Different,BT_Cry2Am1,Aedes aegypti (Diptera),BT_Cry2Al1,Helicoverpa armigera (Lepidoptera),BT_Cry2Ab15,Aedes aegypti (Diptera)
,,,,,,,Spodoptera litura (Lepidoptera),,Anopheles gambiae (Diptera)
,,,,,,,,,Chilo suppressalis (Lepidoptera)
,,,,,,,,,Cydia pomonella (Lepidoptera)
,,,,,,,,,Diatraea saccharalis (Lepidoptera)
,,,,,,,,,Earias insulana (Lepidoptera)
,,,,,,,,,Helicoverpa armigera (Lepidoptera)
,,,,,,,,,Helicoverpa punctigera (Lepidoptera)
,,,,,,,,,Helicoverpa zea (Lepidoptera)
,,,,,,,,,Heliothis virescens (Lepidoptera)
,,,,,,,,,Leguminivora glycinivorella (Lepidoptera)
,,,,,,,,,Lobesia botrana (Lepidoptera)
,,,,,,,,,Lymantria dispar (Lepidoptera)
,,,,,,,,,Malacosoma neustria (Lepidoptera)
,,,,,,,,,Manduca sexta (Lepidoptera)
,,,,,,,,,Mythimna separata (Lepidoptera)
,,,,,,,,,Ostrinia nubilalis (Lepidoptera)
,,,,,,,,,Pectinophora gossypiella (Lepidoptera)
,,,,,,,,,Pieris brassicae (Lepidoptera)
,,,,,,,,,Pieris rapae (Lepidoptera)
,,,,,,,,,Plutella xylostella (Lepidoptera)
,,,,,,,,,Rhagoletis cerasi (Diptera)
,,,,,,,,,Spodoptera exigua (Lepidoptera)
,,,,,,,,,Spodoptera frugiperda (Lepidoptera)
,,,,,,,,,Trichoplusia ni (Lepidoptera)
,,,,,,,,BT_Cry2Ag1,Aedes aegypti (Diptera)
,,,,,,,,,Pieris rapae (Lepidoptera)
96,domain1,Strains_add,Same,NOV_Cry19Ba1_74.0_AGV55021.1 (mogi K4),Anopheles stephensi (Diptera),BT_Cry19Ba1,Culex pipiens (Diptera),,
,,,,,Culex pipiens molestus (Diptera),,Culex pipiens molestus (Diptera),,
,,,,,Culex pipiens pallens (Diptera),,,,
98,domain3,Strains_add,Different,BT_Cry3Ba1,Chrysomela scripta (Coleoptera),BT_Cry8Da1,Agelastica coerulea (Coleoptera),BT_Cry3Ca1,Cylas brunneus (Coleoptera)
,,,,,Cyclocephala borealis (Coleoptera),,Anomala cuprea (Coleoptera),,Cylas puncticollis (Coleoptera)
,,,,,Cyclocephala pasadenae (Coleoptera),,Anomala orientalis (Coleoptera),,Leptinotarsa decemlineata (Coleoptera)
,,,,,Cylas brunneus (Coleoptera),,Plutella xylostella (Lepidoptera),,
,,,,,Cylas puncticollis (Coleoptera),,Popillia japonica (Coleoptera),,
,,,,,Diabrotica undecimpunctata howardi (Coleoptera),,,,
,,,,,Leptinotarsa decemlineata (Coleoptera),,,,
,,,,,Popillia japonica (Coleoptera),,,,
,,,,,Tribolium castaneum (Coleoptera),,,,
,,,,BT_Cry3Bb1,Alphitobius diaperinus (Coleoptera),,,,
,,,,,Cylas brunneus (Coleoptera),,,,
,,,,,Cylas puncticollis (Coleoptera),,,,
,,,,,Diabrotica undecimpunctata howardi (Coleoptera),,,,
,,,,,Diabrotica virgifera virgifera (Coleoptera),,,,
,,,,,Leptinotarsa decemlineata (Coleoptera),,,,
104,domain3,Strains_add,Same,NOV_Cry21Aa2_44.6_AZR80772.1 (C15),Caenorhabditis elegans (Nematoda),BT_Cry21Aa1,Acrobeloides sp (Nematoda),,
,,,,,,,Bursaphelenchus xylophilus (Nematoda),,
,,,,,,,Caenorhabditis elegans (Nematoda),,
,,,,,,,Distolabrellus veechi (Nematoda),,
,,,,,,,Heligmosomoides polygyrus bakeri (Nematoda),,
,,,,,,,Nippostrongylus brasiliensis (Nematoda),,
,,,,,,,Panagrellus redivivus (Nematoda),,
,,,,,,BT_Cry21Ba1,,,
107,domain2,Strains_add,Different,BT_Cry52Ca1,Helicoverpa armigera (Lepidoptera),NOV_Cry52Ca1_62.9_AZJ24464.1 (FCC41),Aedes aegypti (Diptera),,
,,,,,,,Aedes albifasciatus (Diptera),,
,,,,,,,Culex apicinus (Diptera),,
,,,,,,,Culex pipiens (Diptera),,
,,,,,,,Culex quinquefasciatus (Diptera),,
109,domain3,Strains_add,Different,NOV_Cry69Ab1_58.0_PER42111.1,Euschistus servus (Hemiptera),BT_Cry69Aa1,Aedes aegypti (Diptera),NOV_Cry69Aa2_62.7_WP_103591151.1 (BGSC 4U1),Lycoriella auripila (Diptera)
,,,,,Nezara viridula (Hemiptera),,Culex quinquefasciatus (Diptera),,
,,,,,,,Helicoverpa armigera (Lepidoptera),,
,,,,,,,Spodoptera exigua (Lepidoptera),,
,,,,,,BT_Cry69Ab1,,,
119,domain1,Strains_add,Same,BT_Cry14Ab1,Caenorhabditis elegans (Nematoda),NOV_Cry14Ab1_85.6_AXE15628.1 (LBIT-107),Caenorhabditis elegans (Nematoda),BT_Cry14Aa1,Bursaphelenchus xylophilus (Nematoda)
,,,,,Heterodera glycines (Nematoda),,,,Caenorhabditis elegans (Nematoda)
,,,,,,,,,Distolabrellus veechi (Nematoda)
,,,,,,,,,Nippostrongylus brasiliensis (Nematoda)
,,,,,,,,,Panagrellus redivivus (Nematoda)
