Start,End,DonorLineage,RecipientStrain,log(BF),StrainName,Event_type
4676,5070,20,153,2.9,BT_Cry52Ba1,recent
110,123,29,154,4.4,BT_Cry52Ca1,recent
3821,4574,20,154,3.6,BT_Cry52Ca1,recent
4635,5085,20,154,7.6,BT_Cry52Ca1,recent
1833,1836,17,155,4,BT_Cry53Aa1,recent
1837,1910,8,155,3.4,BT_Cry53Aa1,recent
1911,1984,24,155,3.4,BT_Cry53Aa1,recent
1,56,14,157,1.2,BT_Cry54Aa1,recent
57,115,3,157,1.5,BT_Cry54Aa1,recent
116,165,18,157,0.8,BT_Cry54Aa1,recent
228,253,3,157,17.7,BT_Cry54Aa1,recent
4849,4904,17,157,1.2,BT_Cry54Aa1,recent
1,109,3,158,5.9,BT_Cry54Ba1,recent
110,227,18,158,0,BT_Cry54Ba1,recent
228,271,28,158,17.3,BT_Cry54Ba1,recent
1587,1647,3,158,2.8,BT_Cry54Ba1,recent
2242,2261,27,158,16.9,BT_Cry54Ba1,recent
2262,2272,18,158,8.6,BT_Cry54Ba1,recent
2273,2273,9,158,1.7,BT_Cry54Ba1,recent
2457,2498,25,158,0.4,BT_Cry54Ba1,recent
2588,2628,8,158,0.3,BT_Cry54Ba1,recent
2635,2704,27,158,2.6,BT_Cry54Ba1,recent
2705,2849,18,158,9.1,BT_Cry54Ba1,recent
2850,3065,6,158,15.4,BT_Cry54Ba1,recent
3066,3140,25,158,3,BT_Cry54Ba1,recent
3316,3336,12,158,0.4,BT_Cry54Ba1,recent
4568,4616,6,158,0.9,BT_Cry54Ba1,recent
4617,4653,28,158,0,BT_Cry54Ba1,recent
4767,4854,28,158,4.1,BT_Cry54Ba1,recent
1,90,29,160,4.2,BT_Cry57Ab1,recent
2470,2652,23,160,4.5,BT_Cry57Ab1,recent
3349,3404,12,160,1.4,BT_Cry57Ab1,recent
318,479,6,161,6.5,BT_Cry58Aa1,recent
872,881,23,161,1.3,BT_Cry58Aa1,recent
882,965,29,161,1.6,BT_Cry58Aa1,recent
2261,2444,17,161,7.9,BT_Cry58Aa1,recent
2453,2511,21,161,0.2,BT_Cry58Aa1,recent
2706,2791,25,161,1.8,BT_Cry58Aa1,recent
4238,4305,17,161,9.8,BT_Cry58Aa1,recent
4306,4308,2,161,2.9,BT_Cry58Aa1,recent
1,123,26,162,5.9,BT_Cry59Aa1,recent
216,239,28,162,10.3,BT_Cry59Aa1,recent
240,302,17,162,30.7,BT_Cry59Aa1,recent
405,628,30,162,12.9,BT_Cry59Aa1,recent
672,688,1,162,3.5,BT_Cry59Aa1,recent
1120,1147,17,162,8.3,BT_Cry59Aa1,recent
4737,4892,28,162,8.5,BT_Cry59Aa1,recent
4893,4947,26,162,0.8,BT_Cry59Aa1,recent
4948,5010,22,162,1.4,BT_Cry59Aa1,recent
1,425,20,163,14,BT_Cry59Ba1,recent
516,1683,20,163,44,BT_Cry59Ba1,recent
3382,3504,17,163,0.7,BT_Cry59Ba1,recent
3505,3740,20,163,3.4,BT_Cry59Ba1,recent
4786,4877,28,163,0.9,BT_Cry59Ba1,recent
4878,4953,26,163,0.2,BT_Cry59Ba1,recent
1,84,15,164,6.4,BT_Cry5Ab1,recent
247,309,29,164,4,BT_Cry5Ab1,recent
310,450,2,164,13.1,BT_Cry5Ab1,recent
451,498,29,164,2.4,BT_Cry5Ab1,recent
499,589,16,164,7.3,BT_Cry5Ab1,recent
1134,1134,20,164,1.4,BT_Cry5Ab1,recent
1135,1321,13,164,15.3,BT_Cry5Ab1,recent
1322,1466,6,164,10.6,BT_Cry5Ab1,recent
1734,1885,30,164,2.4,BT_Cry5Ab1,recent
2276,2379,23,164,8.8,BT_Cry5Ab1,recent
2380,2707,29,164,34.8,BT_Cry5Ab1,recent
2708,2753,15,164,2.2,BT_Cry5Ab1,recent
2754,3114,29,164,38.6,BT_Cry5Ab1,recent
3115,3285,27,164,7.4,BT_Cry5Ab1,recent
3286,3289,30,164,3.4,BT_Cry5Ab1,recent
3290,3338,18,164,1.7,BT_Cry5Ab1,recent
3348,3459,29,164,9.7,BT_Cry5Ab1,recent
4405,4528,14,164,11.1,BT_Cry5Ab1,recent
4529,4598,7,164,4.8,BT_Cry5Ab1,recent
4630,4632,14,164,4.9,BT_Cry5Ab1,recent
4753,4801,17,164,2.5,BT_Cry5Ab1,recent
4802,4858,25,164,3.4,BT_Cry5Ab1,recent
579,708,29,165,1.2,BT_Cry5Ba1,recent
2052,2059,27,165,4.2,BT_Cry5Ba1,recent
2060,2087,17,165,21.4,BT_Cry5Ba1,recent
2088,2151,30,165,16.5,BT_Cry5Ba1,recent
2152,2357,16,165,10.5,BT_Cry5Ba1,recent
2358,2600,29,165,13,BT_Cry5Ba1,recent
2636,2687,16,165,0.1,BT_Cry5Ba1,recent
2761,2915,16,165,6.9,BT_Cry5Ba1,recent
2916,3057,9,165,6,BT_Cry5Ba1,recent
1,47,3,166,0.1,BT_Cry5Ca1,recent
331,396,16,166,1.3,BT_Cry5Ca1,recent
397,473,12,166,2.1,BT_Cry5Ca1,recent
2212,2409,29,166,11,BT_Cry5Ca1,recent
2620,2684,27,166,1.3,BT_Cry5Ca1,recent
2685,2760,30,166,2,BT_Cry5Ca1,recent
2761,2885,20,166,5.6,BT_Cry5Ca1,recent
2886,3017,29,166,6.1,BT_Cry5Ca1,recent
3462,3739,30,166,1.1,BT_Cry5Ca1,recent
4402,4500,15,166,1.5,BT_Cry5Ca1,recent
1,57,15,167,0.8,BT_Cry5Da1,recent
251,311,29,167,1.1,BT_Cry5Da1,recent
312,406,12,167,3.6,BT_Cry5Da1,recent
407,597,30,167,10.8,BT_Cry5Da1,recent
815,824,2,167,7.5,BT_Cry5Da1,recent
825,939,27,167,1.4,BT_Cry5Da1,recent
940,1051,29,167,2.5,BT_Cry5Da1,recent
1126,1302,30,167,0.1,BT_Cry5Da1,recent
1303,1468,29,167,2.7,BT_Cry5Da1,recent
1779,1801,16,167,1.7,BT_Cry5Da1,recent
1802,1812,4,167,2.2,BT_Cry5Da1,recent
1813,1959,30,167,5.3,BT_Cry5Da1,recent
1960,2060,29,167,8.2,BT_Cry5Da1,recent
2061,2061,30,167,1.8,BT_Cry5Da1,recent
2098,2130,30,167,21.2,BT_Cry5Da1,recent
2307,2393,7,167,3,BT_Cry5Da1,recent
2394,2474,29,167,2.5,BT_Cry5Da1,recent
2475,2523,23,167,0.3,BT_Cry5Da1,recent
2605,2761,30,167,8.2,BT_Cry5Da1,recent
2772,2884,12,167,4.9,BT_Cry5Da1,recent
2885,3390,30,167,6,BT_Cry5Da1,recent
3499,3535,30,167,2.5,BT_Cry5Da1,recent
4689,4713,5,167,2.6,BT_Cry5Da1,recent
4714,4821,29,167,4.5,BT_Cry5Da1,recent
1,107,29,168,2.4,BT_Cry5Ea2,recent
319,402,5,168,1.2,BT_Cry5Ea2,recent
403,608,29,168,8.2,BT_Cry5Ea2,recent
815,831,11,168,14.8,BT_Cry5Ea2,recent
832,858,26,168,3.4,BT_Cry5Ea2,recent
1593,2005,29,168,6.8,BT_Cry5Ea2,recent
2006,2056,3,168,0.5,BT_Cry5Ea2,recent
2057,2062,16,168,9.9,BT_Cry5Ea2,recent
2113,2116,9,168,5.2,BT_Cry5Ea2,recent
2157,2261,22,168,2.3,BT_Cry5Ea2,recent
2262,2724,29,168,23.1,BT_Cry5Ea2,recent
3290,3299,4,168,15.7,BT_Cry5Ea2,recent
3428,3585,30,168,6.1,BT_Cry5Ea2,recent
4768,4859,29,168,1.6,BT_Cry5Ea2,recent
800,849,4,169,22.5,BT_Cry61Aa1,recent
850,920,25,169,3.4,BT_Cry61Aa1,recent
921,995,4,169,3.8,BT_Cry61Aa1,recent
1931,2007,25,169,4,BT_Cry61Aa1,recent
2008,2063,14,169,2,BT_Cry61Aa1,recent
2064,2072,7,169,10.2,BT_Cry61Aa1,recent
2073,2078,17,169,11.6,BT_Cry61Aa1,recent
2094,2109,27,169,6.7,BT_Cry61Aa1,recent
2115,2188,19,169,3.7,BT_Cry61Aa1,recent
2647,2693,30,169,1.2,BT_Cry61Aa1,recent
2694,2775,1,169,4.5,BT_Cry61Aa1,recent
2833,2911,10,169,4.2,BT_Cry61Aa1,recent
2931,3035,10,169,6.7,BT_Cry61Aa1,recent
3063,3120,4,169,2.2,BT_Cry61Aa1,recent
3121,3160,10,169,0.6,BT_Cry61Aa1,recent
3161,3233,4,169,3.6,BT_Cry61Aa1,recent
3379,3462,28,169,2.4,BT_Cry61Aa1,recent
3973,4008,23,169,0.3,BT_Cry61Aa1,recent
4049,4224,10,169,13.6,BT_Cry61Aa1,recent
4225,4270,25,169,1.2,BT_Cry61Aa1,recent
4271,4335,21,169,5.4,BT_Cry61Aa1,recent
1231,1297,5,170,4.3,BT_Cry62Aa1,recent
1298,1440,14,170,13,BT_Cry62Aa1,recent
2155,2196,6,170,1.6,BT_Cry62Aa1,recent
2434,2597,18,170,8,BT_Cry62Aa1,recent
2627,2677,30,170,2.5,BT_Cry62Aa1,recent
2803,2938,6,170,12.2,BT_Cry62Aa1,recent
2939,3239,30,170,17.9,BT_Cry62Aa1,recent
3353,3382,28,170,0.4,BT_Cry62Aa1,recent
3752,3850,27,170,7.9,BT_Cry62Aa1,recent
4056,4134,14,170,5.6,BT_Cry62Aa1,recent
4135,4171,27,170,1.1,BT_Cry62Aa1,recent
4301,4310,21,170,3.3,BT_Cry62Aa1,recent
4319,4403,8,170,5.7,BT_Cry62Aa1,recent
4404,4542,28,170,12.5,BT_Cry62Aa1,recent
4543,4681,18,170,12.5,BT_Cry62Aa1,recent
82,196,30,171,1.5,BT_Cry63Aa1,recent
197,280,29,171,0.1,BT_Cry63Aa1,recent
814,837,2,171,26.6,BT_Cry63Aa1,recent
874,877,2,171,2.6,BT_Cry63Aa1,recent
1527,1548,23,171,28.6,BT_Cry63Aa1,recent
1606,1609,23,171,2.6,BT_Cry63Aa1,recent
1694,1694,15,171,2.2,BT_Cry63Aa1,recent
1772,2065,30,171,13.4,BT_Cry63Aa1,recent
2066,2068,18,171,0.6,BT_Cry63Aa1,recent
2069,2074,30,171,15.5,BT_Cry63Aa1,recent
2075,2099,21,171,3.2,BT_Cry63Aa1,recent
2100,2113,14,171,4.8,BT_Cry63Aa1,recent
2114,2132,15,171,1.3,BT_Cry63Aa1,recent
2402,2526,27,171,1.9,BT_Cry63Aa1,recent
2635,3198,29,171,22.2,BT_Cry63Aa1,recent
3199,3324,15,171,3.1,BT_Cry63Aa1,recent
3656,3908,30,171,4.3,BT_Cry63Aa1,recent
4131,4139,16,171,2.4,BT_Cry63Aa1,recent
4703,4835,18,171,2.3,BT_Cry63Aa1,recent
4971,5083,15,171,1.4,BT_Cry63Aa1,recent
1,448,30,172,14.7,BT_Cry65Aa2,recent
556,594,28,172,27.4,BT_Cry65Aa2,recent
595,1156,30,172,65.1,BT_Cry65Aa2,recent
1212,1326,3,172,1.2,BT_Cry65Aa2,recent
1327,1508,26,172,4.1,BT_Cry65Aa2,recent
1518,1530,16,172,7.9,BT_Cry65Aa2,recent
1531,1541,30,172,16,BT_Cry65Aa2,recent
1542,2059,28,172,22.9,BT_Cry65Aa2,recent
2060,2074,14,172,15.4,BT_Cry65Aa2,recent
2075,2103,26,172,8,BT_Cry65Aa2,recent
2104,2104,28,172,2.3,BT_Cry65Aa2,recent
2208,2256,16,172,6.3,BT_Cry65Aa2,recent
2257,2275,18,172,18.3,BT_Cry65Aa2,recent
2600,2928,2,172,10.5,BT_Cry65Aa2,recent
3004,3185,2,172,4.1,BT_Cry65Aa2,recent
3331,3443,12,172,1.1,BT_Cry65Aa2,recent
3444,3482,11,172,22.2,BT_Cry65Aa2,recent
3483,3549,3,172,2,BT_Cry65Aa2,recent
3676,3728,3,172,7.1,BT_Cry65Aa2,recent
4873,5007,15,172,2.1,BT_Cry65Aa2,recent
1,112,14,173,6.1,BT_Cry67Aa2,recent
113,167,27,173,1.3,BT_Cry67Aa2,recent
1097,1161,17,173,15.9,BT_Cry67Aa2,recent
2417,2487,27,173,2.6,BT_Cry67Aa2,recent
3731,3756,9,173,0.6,BT_Cry67Aa2,recent
3757,3840,10,173,3.7,BT_Cry67Aa2,recent
3841,3875,30,173,10,BT_Cry67Aa2,recent
3960,4090,1,173,7.7,BT_Cry67Aa2,recent
4511,4584,11,173,2.8,BT_Cry67Aa2,recent
4730,4772,14,173,0.4,BT_Cry67Aa2,recent
4803,4841,13,173,0.1,BT_Cry67Aa2,recent
4873,4991,28,173,6.7,BT_Cry67Aa2,recent
2258,2289,9,175,5.6,BT_Cry69Aa1,recent
2299,2381,15,175,4,BT_Cry69Aa1,recent
2386,2422,8,175,0.1,BT_Cry69Aa1,recent
2423,2547,11,175,7.7,BT_Cry69Aa1,recent
2258,2259,5,176,0.7,BT_Cry69Ab1,recent
2260,2264,9,176,3.2,BT_Cry69Ab1,recent
2392,2456,25,176,2.3,BT_Cry69Ab1,recent
2457,2513,21,176,1.6,BT_Cry69Ab1,recent
3801,3871,30,180,0,BT_Cry71Aa1,recent
4601,4645,20,180,0.4,BT_Cry71Aa1,recent
1542,1563,18,181,2.6,BT_Cry72Aa1,recent
1564,1565,17,181,0.6,BT_Cry72Aa1,recent
1566,1600,21,181,7.7,BT_Cry72Aa1,recent
2648,2703,21,181,1.7,BT_Cry72Aa1,recent
2704,2774,20,181,3,BT_Cry72Aa1,recent
2775,2812,14,181,0.2,BT_Cry72Aa1,recent
2813,2901,4,181,4.6,BT_Cry72Aa1,recent
2911,3025,28,181,7,BT_Cry72Aa1,recent
3026,3134,20,181,6.4,BT_Cry72Aa1,recent
3835,3873,28,181,7.8,BT_Cry72Aa1,recent
4571,4645,20,181,3.3,BT_Cry72Aa1,recent
4397,4582,14,186,0.3,BT_Cry7Ac1,recent
5026,5076,14,186,1.1,BT_Cry7Ac1,recent
218,273,13,187,17,BT_Cry7Ba1,recent
3857,4028,13,187,8.6,BT_Cry7Ba1,recent
4029,4338,29,187,18.6,BT_Cry7Ba1,recent
4339,4489,13,187,7.1,BT_Cry7Ba1,recent
4490,5106,29,187,2.1,BT_Cry7Ba1,recent
217,577,29,188,10.2,BT_Cry7Bb1,recent
2226,2241,29,188,28.8,BT_Cry7Bb1,recent
5048,5102,24,189,0.3,BT_Cry7Cb1,recent
1,65,25,190,2,BT_Cry7Da1,recent
1514,1540,21,190,6.1,BT_Cry7Da1,recent
1541,1596,25,190,19.7,BT_Cry7Da1,recent
1597,1685,12,190,0.9,BT_Cry7Da1,recent
1790,1816,13,190,12,BT_Cry7Da1,recent
1985,2043,26,190,1.6,BT_Cry7Da1,recent
2044,2098,21,190,5.4,BT_Cry7Da1,recent
2243,2268,24,190,25.8,BT_Cry7Da1,recent
2310,2357,12,190,0.7,BT_Cry7Da1,recent
2358,2437,25,190,3.3,BT_Cry7Da1,recent
2983,3029,18,190,0.6,BT_Cry7Da1,recent
3030,3103,27,190,2.8,BT_Cry7Da1,recent
3104,3167,7,190,2,BT_Cry7Da1,recent
3536,3551,27,190,0.4,BT_Cry7Da1,recent
4479,5031,14,190,16.8,BT_Cry7Da1,recent
4053,4159,2,191,5.8,BT_Cry7Fa1,recent
4165,4204,4,191,0.2,BT_Cry7Fa1,recent
4205,4270,13,191,2.3,BT_Cry7Fa1,recent
4271,4304,21,191,0.2,BT_Cry7Fa1,recent
4478,4584,13,191,5.8,BT_Cry7Fa1,recent
4585,4632,4,191,0.8,BT_Cry7Fa1,recent
287,1088,29,195,79.5,BT_Cry7Gd1,recent
262,404,10,196,30.9,BT_Cry7Ha1,recent
493,514,22,196,3.2,BT_Cry7Ha1,recent
543,582,14,196,18.2,BT_Cry7Ha1,recent
583,740,27,196,39.6,BT_Cry7Ha1,recent
741,780,22,196,35.9,BT_Cry7Ha1,recent
781,783,27,196,5,BT_Cry7Ha1,recent
784,806,10,196,30.2,BT_Cry7Ha1,recent
807,835,14,196,47.9,BT_Cry7Ha1,recent
836,840,19,196,7.1,BT_Cry7Ha1,recent
841,843,30,196,9.8,BT_Cry7Ha1,recent
1006,1015,14,196,7.2,BT_Cry7Ha1,recent
1016,1030,15,196,11.1,BT_Cry7Ha1,recent
1031,1116,14,196,18.2,BT_Cry7Ha1,recent
1117,1338,13,196,0.4,BT_Cry7Ha1,recent
1496,2461,13,196,50.7,BT_Cry7Ha1,recent
3458,3668,13,196,31.8,BT_Cry7Ha1,recent
3669,4840,14,196,18.4,BT_Cry7Ha1,recent
253,316,14,197,36.6,BT_Cry7Ia1,recent
592,714,7,197,17.1,BT_Cry7Ia1,recent
715,768,26,197,8.9,BT_Cry7Ia1,recent
769,836,14,197,55.1,BT_Cry7Ia1,recent
850,1155,14,197,1.7,BT_Cry7Ia1,recent
1156,1158,5,197,3.2,BT_Cry7Ia1,recent
2012,2076,25,197,1.4,BT_Cry7Ia1,recent
2242,2244,30,197,7.1,BT_Cry7Ia1,recent
2253,2254,30,197,4.5,BT_Cry7Ia1,recent
2255,2314,25,197,9.1,BT_Cry7Ia1,recent
3011,3185,25,197,5.3,BT_Cry7Ia1,recent
3298,3346,26,197,10.2,BT_Cry7Ia1,recent
3514,3550,27,197,4.7,BT_Cry7Ia1,recent
3646,3875,14,197,7.9,BT_Cry7Ia1,recent
3876,3931,13,197,3.9,BT_Cry7Ia1,recent
4897,5049,26,197,4.1,BT_Cry7Ia1,recent
1,53,25,198,2.3,BT_Cry7Ja1,recent
77,125,10,198,1.9,BT_Cry7Ja1,recent
1883,1915,27,198,0.4,BT_Cry7Ja1,recent
2785,2919,27,198,10.9,BT_Cry7Ja1,recent
2920,2994,28,198,4.5,BT_Cry7Ja1,recent
3000,3081,25,198,5.2,BT_Cry7Ja1,recent
3894,4017,25,198,1,BT_Cry7Ja1,recent
4036,4204,21,198,14.6,BT_Cry7Ja1,recent
4460,4513,28,198,2.4,BT_Cry7Ja1,recent
4514,4704,25,198,1.6,BT_Cry7Ja1,recent
4705,4707,7,198,5.2,BT_Cry7Ja1,recent
4708,4709,21,198,3.3,BT_Cry7Ja1,recent
123,625,29,199,38.4,BT_Cry7Ka1,recent
973,983,7,199,11.8,BT_Cry7Ka1,recent
1014,1020,7,199,0.9,BT_Cry7Ka1,recent
1021,1168,29,199,29.7,BT_Cry7Ka1,recent
282,282,25,200,2.1,BT_Cry7Kb1,recent
283,306,19,200,9,BT_Cry7Kb1,recent
307,335,26,200,7.1,BT_Cry7Kb1,recent
336,602,27,200,9.4,BT_Cry7Kb1,recent
968,1013,29,200,11.3,BT_Cry7Kb1,recent
1076,1184,29,200,27.7,BT_Cry7Kb1,recent
3712,3725,14,200,12.2,BT_Cry7Kb1,recent
1,65,12,201,1.7,BT_Cry7La1,recent
268,284,30,201,9.6,BT_Cry7La1,recent
285,297,23,201,10.1,BT_Cry7La1,recent
494,585,6,201,6.9,BT_Cry7La1,recent
2811,2891,16,201,3,BT_Cry7La1,recent
3723,3783,15,201,1.3,BT_Cry7La1,recent
3784,3879,30,201,0.6,BT_Cry7La1,recent
4300,4344,14,201,3,BT_Cry7La1,recent
4423,4501,24,201,2.8,BT_Cry7La1,recent
4502,4650,26,201,8.5,BT_Cry7La1,recent
489,611,24,202,18.4,BT_Cry8Aa1,recent
2381,2431,21,202,2.1,BT_Cry8Aa1,recent
4733,4752,7,202,0,BT_Cry8Aa1,recent
4753,4922,21,202,3.1,BT_Cry8Aa1,recent
489,614,24,203,19.1,BT_Cry8Ab1,recent
4540,4586,24,203,3.8,BT_Cry8Ab1,recent
4733,4894,29,203,1,BT_Cry8Ab1,recent
494,614,24,204,16.1,BT_Cry8Ac1,recent
3898,4316,29,204,1.5,BT_Cry8Ac1,recent
4672,4896,29,204,0.5,BT_Cry8Ac1,recent
4897,4992,14,204,7.8,BT_Cry8Ac1,recent
489,614,24,205,21.8,BT_Cry8Ad1,recent
2410,2428,21,205,11.3,BT_Cry8Ad1,recent
2781,3076,29,205,0.7,BT_Cry8Ad1,recent
3652,3656,18,206,5.8,BT_Cry8Ba1,recent
4291,4406,29,206,5.5,BT_Cry8Ba1,recent
4629,4662,18,206,1.8,BT_Cry8Ba1,recent
3347,3383,29,207,1,BT_Cry8Bb1,recent
4883,4996,14,207,9.4,BT_Cry8Bb1,recent
1,53,4,208,2.4,BT_Cry8Ca1,recent
1099,1495,25,208,1.5,BT_Cry8Ca1,recent
2416,2466,27,208,2.2,BT_Cry8Ca1,recent
2467,2513,14,208,1.8,BT_Cry8Ca1,recent
2896,2983,17,208,6,BT_Cry8Ca1,recent
2984,3074,25,208,6.4,BT_Cry8Ca1,recent
3075,3105,28,208,0.3,BT_Cry8Ca1,recent
3733,4869,25,208,8.7,BT_Cry8Ca1,recent
489,612,24,209,24.2,BT_Cry8Da1,recent
489,612,24,210,21,BT_Cry8Db1,recent
4297,4371,14,210,2.3,BT_Cry8Db1,recent
2408,2436,29,211,12.3,BT_Cry8Ea2,recent
3814,3867,29,211,11.2,BT_Cry8Ea2,recent
3868,3870,30,211,5.1,BT_Cry8Ea2,recent
4629,4663,23,211,4.5,BT_Cry8Ea2,recent
4861,4996,24,211,11.7,BT_Cry8Ea2,recent
1,64,14,212,1.6,BT_Cry8Fa2,recent
580,616,24,212,46.1,BT_Cry8Fa2,recent
617,785,25,212,5.6,BT_Cry8Fa2,recent
786,795,27,212,4.7,BT_Cry8Fa2,recent
796,824,24,212,21.1,BT_Cry8Fa2,recent
1922,1975,24,212,0.9,BT_Cry8Fa2,recent
2830,3069,25,212,15.8,BT_Cry8Fa2,recent
1,165,4,213,6.5,BT_Cry8Ga1,recent
221,252,25,213,27,BT_Cry8Ga1,recent
253,646,4,213,22,BT_Cry8Ga1,recent
647,759,26,213,0.7,BT_Cry8Ga1,recent
760,1086,4,213,11.9,BT_Cry8Ga1,recent
1087,1096,10,213,8.3,BT_Cry8Ga1,recent
1097,1736,25,213,3.7,BT_Cry8Ga1,recent
1737,1842,14,213,9.5,BT_Cry8Ga1,recent
1843,1994,4,213,5.7,BT_Cry8Ga1,recent
1995,2085,14,213,2.9,BT_Cry8Ga1,recent
2175,2273,21,213,12.2,BT_Cry8Ga1,recent
2296,2409,14,213,3.4,BT_Cry8Ga1,recent
2414,2641,4,213,1.5,BT_Cry8Ga1,recent
2657,2849,4,213,8.3,BT_Cry8Ga1,recent
2898,3431,4,213,0.1,BT_Cry8Ga1,recent
4095,4171,27,213,1.2,BT_Cry8Ga1,recent
1,66,5,216,2.9,BT_Cry8Ia3,recent
1824,1831,4,216,8.3,BT_Cry8Ia3,recent
2510,2553,25,216,1,BT_Cry8Ia3,recent
2588,2754,4,216,12.7,BT_Cry8Ia3,recent
2839,2897,28,216,2.3,BT_Cry8Ia3,recent
2898,3026,18,216,8.9,BT_Cry8Ia3,recent
3136,3173,14,216,0.4,BT_Cry8Ia3,recent
1,66,5,217,2.9,BT_Cry8Ib1,recent
1757,1835,4,217,8.4,BT_Cry8Ib1,recent
2618,2755,4,217,9.8,BT_Cry8Ib1,recent
2764,2838,4,217,3.7,BT_Cry8Ib1,recent
2839,2885,28,217,1.2,BT_Cry8Ib1,recent
2886,3156,4,217,22.9,BT_Cry8Ib1,recent
3157,3215,14,217,2.3,BT_Cry8Ib1,recent
2408,2436,29,218,11.2,BT_Cry8Ja1,recent
4813,5079,29,218,29.7,BT_Cry8Ja1,recent
3740,5024,25,221,117.6,BT_Cry8Kb1,recent
268,418,18,222,6.1,BT_Cry8La1,recent
490,496,25,222,4.8,BT_Cry8La1,recent
528,581,4,222,1.1,BT_Cry8La1,recent
582,590,8,222,15.9,BT_Cry8La1,recent
591,604,27,222,10.1,BT_Cry8La1,recent
605,611,4,222,7.7,BT_Cry8La1,recent
612,612,12,222,1.9,BT_Cry8La1,recent
823,839,7,222,16.1,BT_Cry8La1,recent
883,955,4,222,1.6,BT_Cry8La1,recent
4293,4302,25,222,7.8,BT_Cry8La1,recent
568,714,4,223,23,BT_Cry8Na1,recent
715,769,14,223,2.9,BT_Cry8Na1,recent
770,1092,4,223,9.6,BT_Cry8Na1,recent
3025,3075,21,223,0.3,BT_Cry8Na1,recent
1,85,26,225,3.1,BT_Cry8Qa1,recent
506,548,25,225,0,BT_Cry8Qa1,recent
565,796,25,225,43.8,BT_Cry8Qa1,recent
797,806,21,225,10.2,BT_Cry8Qa1,recent
807,825,24,225,13.4,BT_Cry8Qa1,recent
1059,1120,15,225,10.1,BT_Cry8Qa1,recent
1121,1180,4,225,2.7,BT_Cry8Qa1,recent
2358,2406,25,225,0.4,BT_Cry8Qa1,recent
2792,2888,21,225,4,BT_Cry8Qa1,recent
2913,2963,25,225,0.6,BT_Cry8Qa1,recent
3863,3952,7,225,5.3,BT_Cry8Qa1,recent
3953,4100,17,225,8,BT_Cry8Qa1,recent
4644,5049,25,225,8.2,BT_Cry8Qa1,recent
517,615,24,226,22.3,BT_Cry8Ra1,recent
1316,1481,27,226,5.9,BT_Cry8Ra1,recent
1977,1977,29,226,1.5,BT_Cry8Ra1,recent
1978,2077,21,226,2.8,BT_Cry8Ra1,recent
2078,2123,29,226,14.8,BT_Cry8Ra1,recent
2256,2537,29,226,1.5,BT_Cry8Ra1,recent
3126,3153,21,226,0,BT_Cry8Ra1,recent
4359,4410,4,226,4.9,BT_Cry8Ra1,recent
4536,4583,26,226,7.4,BT_Cry8Ra1,recent
4733,4925,26,226,3.1,BT_Cry8Ra1,recent
1084,1116,25,227,17.2,BT_Cry8Sa1,recent
1117,1145,22,227,15.2,BT_Cry8Sa1,recent
1184,1248,3,227,2.1,BT_Cry8Sa1,recent
2949,3077,25,227,7.6,BT_Cry8Sa1,recent
4133,4222,25,227,4.2,BT_Cry8Sa1,recent
1,79,25,228,2.7,BT_Cry8Ta1,recent
494,598,24,228,4.8,BT_Cry8Ta1,recent
1091,1181,25,228,19.8,BT_Cry8Ta1,recent
1358,1478,10,228,5.9,BT_Cry8Ta1,recent
1479,1808,25,228,13.3,BT_Cry8Ta1,recent
1809,1855,21,228,5.2,BT_Cry8Ta1,recent
1864,1928,25,228,1.6,BT_Cry8Ta1,recent
1988,2267,25,228,5,BT_Cry8Ta1,recent
2405,2531,25,228,6.4,BT_Cry8Ta1,recent
2577,2628,27,228,0.7,BT_Cry8Ta1,recent
2629,2993,25,228,25.3,BT_Cry8Ta1,recent
3284,3351,21,228,3.4,BT_Cry8Ta1,recent
3352,3406,26,228,0.9,BT_Cry8Ta1,recent
3407,3543,25,228,4.3,BT_Cry8Ta1,recent
4560,4645,25,228,3.2,BT_Cry8Ta1,recent
3641,4083,26,229,3.3,BT_Cry9Aa1,recent
4340,4413,24,229,3.4,BT_Cry9Aa1,recent
1,90,29,230,15.1,BT_Cry9Ba1,recent
1826,1852,26,230,11.7,BT_Cry9Ba1,recent
1853,1872,12,230,9.3,BT_Cry9Ba1,recent
2179,2230,17,230,1.2,BT_Cry9Ba1,recent
2376,2568,25,230,12.4,BT_Cry9Ba1,recent
2929,2984,25,230,1.5,BT_Cry9Ba1,recent
4389,4434,26,230,0.2,BT_Cry9Ba1,recent
1,88,29,231,10.8,BT_Cry9Bb1,recent
1827,1836,29,231,20.6,BT_Cry9Bb1,recent
1837,1872,22,231,7.2,BT_Cry9Bb1,recent
2516,2527,4,231,13.1,BT_Cry9Bb1,recent
3815,3857,11,231,13.1,BT_Cry9Bb1,recent
4398,4543,29,231,2.2,BT_Cry9Bb1,recent
4544,4579,26,231,2.8,BT_Cry9Bb1,recent
4814,4856,25,231,1.4,BT_Cry9Bb1,recent
186,1126,25,232,26.3,BT_Cry9Ca1,recent
1554,1568,25,232,5.3,BT_Cry9Ca1,recent
2097,2272,29,233,7.7,BT_Cry9Da1,recent
2433,2875,29,233,9,BT_Cry9Da1,recent
4523,4575,26,236,0.6,BT_Cry9Ea10,recent
4631,4631,26,236,1.6,BT_Cry9Ea10,recent
