ID,Rec_domain,Current_domain,Tox_type,evol_type,omega_b,omega_f,Num_tox,Num_rec_pars,Num_recs_pars_all,best_site_model,Site_model_type,Sites_pos,Sites_cons,Sites_rel,best_branc_site,Brsites_pos,Brsites_cons,Orders_flag,Simpson_species
113,domain3,domain3,Rec,non-signif,0.273,2.47,8,1,2,m8,positive,0,5,0,mB,162,0,NA,NA
113,domain3,domain3,Par,purifying,0.323,0,8,1,2,m8,positive,0,5,0,mB,162,0,NA,NA
113,domain3,domain1,Rec,purifying,0.168,0.007,7,1,1,m8,positive,0,15,0,mB,0,20,NA,NA
113,domain3,domain2,Rec,purifying,0.257,0.104,7,1,1,m8,positive,0,4,0,mB,5,1,NA,NA
119,domain1,domain1,Rec,non-signif,0.227,0.341,8,1,2,m3,relaxation,0,0,1,mB,1,59,Same,0.5
119,domain1,domain1,Par,non-signif,0.221,1.185,8,1,2,m3,relaxation,0,0,1,mB,1,60,Same,0.5
119,domain1,domain2,Rec,non-signif,0.203,0.568,8,1,2,m8,non-signif,0,0,0,mB,0,37,Same,0.5
119,domain1,domain2,Par,non-signif,0.197,0.622,8,1,2,m8,non-signif,0,0,0,mB,3,39,Same,0.5
119,domain1,domain3,Rec,non-signif,0.167,99,7,1,2,m3,relaxation,0,0,1,mB,156,0,Same,0.5
119,domain1,domain3,Par,non-signif,0.162,74.316,7,1,2,m3,relaxation,0,0,1,mB,156,0,Same,0.5
