Strain,Cry,Num
MC28,NOV_Cry30Fa1_98.8_AFU17333.1,9
MC28,NOV_Cry54Aa1_94.0_AFU17297.1,9
MC28,NOV_Cry53Ab1_99.7_AFU17354.1,9
MC28,BT_Cry54Ab1,9
MC28,BT_Cry69Aa2,9
V4,BT_Cry1Ia35,3
V4,BT_Cry2Aa16,3
V4,BT_Cry1Ea12,3
ARP218,BT_Cry32Oa1,1
DAB-Bt2,NOV_Cry10Aa1_98.2_ABW89732.1,3
DAB-Bt2,NOV_Cry4Ba1_98.9_ABR22236.1,3
DAB-Bt2,NOV_Cry11Aa1_98.8_ABW89738.1,3
HD511,BT_Cry7Ab1,1
AFS034708,NOV_Cry14Aa1_41.1_PGW46198.1,3
AFS034708,NOV_Cry14Ab1_42.4_PGW46196.1,3
AFS034708,NOV_Cry14Aa1_44.0_PGW42274.1,3
ARP095,BT_Cry9Ee2,1
NBIN-866,NOV_Cry1Gb2_99.9_EXY04468.1,13
NBIN-866,BT_Cry2Ac6,13
NBIN-866,BT_Cry1Ga1,13
NBIN-866,BT_Cry1Db1,13
NBIN-866,BT_Cry2Ab4,13
NBIN-866,NOV_Cry2Ad2_98.1_EXY05362.1,13
NBIN-866,BT_Cry1Fb1,13
NBIN-866,BT_Cry1Ab35,13
NBIN-866,BT_Cry1Bd1,13
NBIN-866,BT_Cry9Aa1,13
NBIN-866,NOV_Cry1Ib7_99.9_EXY05450.1,13
NBIN-866,NOV_Cry9Ba2_99.7_EXY04443.1,13
NBIN-866,BT_Cry1Cb1,13
HD-525,BT_Cry2Ac6,14
HD-525,NOV_Cry9Aa1_99.5_OTZ47101.1,14
HD-525,BT_Cry2Ab4,14
HD-525,BT_Cry1Db1,14
HD-525,NOV_Cry1Gb2_99.8_OTW53896.1,14
HD-525,BT_Cry1Fb1,14
HD-525,NOV_Cry2Ab4_98.1_OTZ46143.1,14
HD-525,NOV_Cry1Ab35_99.6_OTW51788.1,14
HD-525,BT_Cry1Gb1,14
HD-525,BT_Cry1Ga1,14
HD-525,NOV_Cry1Ib7_99.9_EXY05450.1,14
HD-525,NOV_Cry9Ba2_99.9_OTZ46996.1,14
HD-525,BT_Cry1Bd1,14
HD-525,BT_Cry1Cb1,14
BGSC 4G1,BT_Cry2Ac6,12
BGSC 4G1,NOV_Cry1Gb2_99.9_OTY56195.1,12
BGSC 4G1,BT_Cry1Ga1,12
BGSC 4G1,BT_Cry1Db1,12
BGSC 4G1,BT_Cry2Ab4,12
BGSC 4G1,BT_Cry1Fb1,12
BGSC 4G1,NOV_Cry1Ab35_99.9_OTY90981.1,12
BGSC 4G1,NOV_Cry9Ba2_99.9_OTY81209.1,12
BGSC 4G1,BT_Cry1Bd1,12
BGSC 4G1,BT_Cry9Aa1,12
BGSC 4G1,NOV_Cry1Ib7_99.9_EXY05450.1,12
BGSC 4G1,BT_Cry1Cb1,12
BGSC 4G4,BT_Cry2Ac6,11
BGSC 4G4,NOV_Cry1Gb2_99.9_OTY56195.1,11
BGSC 4G4,BT_Cry1Ga1,11
BGSC 4G4,BT_Cry1Db1,11
BGSC 4G4,NOV_Cry2Ad1_99.7_WP_103595482.1,11
BGSC 4G4,BT_Cry2Ab4,11
BGSC 4G4,BT_Cry1Fb1,11
BGSC 4G4,NOV_Cry1Ab35_99.9_WP_103595476.1,11
BGSC 4G4,BT_Cry1Bd1,11
BGSC 4G4,NOV_Cry1Ib7_99.9_EXY05450.1,11
BGSC 4G4,BT_Cry1Cb1,11
BGSC 4CB1,NOV_Cry2Ab4_98.6_OTW61456.1,14
BGSC 4CB1,BT_Cry2Ac6,14
BGSC 4CB1,NOV_Cry1Gb2_99.9_OTY56195.1,14
BGSC 4CB1,BT_Cry1Db1,14
BGSC 4CB1,NOV_Cry9Aa1_99.8_OTY56301.1,14
BGSC 4CB1,BT_Cry1Fb1,14
BGSC 4CB1,BT_Cry1Ab35,14
BGSC 4CB1,NOV_Cry9Ba2_99.6_OTY56302.1,14
BGSC 4CB1,NOV_Cry2Ab4_98.3_WP_087988123.1,14
BGSC 4CB1,NOV_Cry2Ab4_96.7_OTW63083.1,14
BGSC 4CB1,BT_Cry1Ga1,14
BGSC 4CB1,NOV_Cry1Ib7_99.9_EXY05450.1,14
BGSC 4CB1,BT_Cry1Bd1,14
BGSC 4CB1,BT_Cry1Cb1,14
4G3,BT_Cry2Ac6,5
4G3,BT_Cry1Fb1,5
4G3,BT_Cry1Bd1,5
4G3,NOV_Cry1Ib7_99.9_EXY05450.1,5
4G3,BT_Cry1Ga1,5
BGSC 4AE1,NOV_Cry2Ab4_98.6_OTW61456.1,14
BGSC 4AE1,BT_Cry2Ac6,14
BGSC 4AE1,BT_Cry1Db1,14
BGSC 4AE1,NOV_Cry1Gb2_99.8_OTW53896.1,14
BGSC 4AE1,BT_Cry1Fb1,14
BGSC 4AE1,NOV_Cry1Ab35_99.6_OTW51788.1,14
BGSC 4AE1,NOV_Cry2Ab4_98.3_WP_087988123.1,14
BGSC 4AE1,NOV_Cry2Ab4_96.7_OTW63083.1,14
BGSC 4AE1,BT_Cry1Ga1,14
BGSC 4AE1,BT_Cry9Aa1,14
BGSC 4AE1,NOV_Cry1Ib7_99.9_EXY05450.1,14
BGSC 4AE1,NOV_Cry9Ba2_99.4_OTW73398.1,14
BGSC 4AE1,BT_Cry1Bd1,14
BGSC 4AE1,BT_Cry1Cb1,14
4G2,BT_Cry2Ac6,6
4G2,BT_Cry1Db1,6
4G2,BT_Cry1Fb1,6
4G2,BT_Cry1Bd1,6
4G2,NOV_Cry1Ib7_99.9_EXY05450.1,6
4G2,BT_Cry1Ga1,6
AFS045441,BT_Cry1Bd1,1
AFS098022,BT_Cry1Bd1,2
AFS098022,BT_Cry2Ab4,2
ly30,BT_Cry2Aa1,4
ly30,BT_Cry2Ab5,4
ly30,BT_Cry1Aa12,4
ly30,BT_Cry1Ia10,4
SVBS18-01,NOV_Cry1Nb1_99.0_AMR88570.1,3
SVBS18-01,NOV_Cry1Da3_99.9_AMR88578.1,3
SVBS18-01,BT_Cry1Ea11,3
AFS027250,NOV_Cry73Ba1_39.2_PFB88478.1,1
BR58,BT_Cry10Aa3,3
BR58,BT_Cry11Aa1,3
BR58,BT_Cry4Ba1,3
AM65-52,BT_Cry11Aa1,6
AM65-52,NOV_Cry11Aa4_99.0_EEM99034.1,6
AM65-52,NOV_Cry4Aa2_99.8_AND28677.1,6
AM65-52,BT_Cry10Aa3,6
AM65-52,BT_Cry4Ba1,6
AM65-52,BT_Cry4Aa2,6
HD-789,BT_Cry4Aa2,4
HD-789,BT_Cry10Aa3,4
HD-789,BT_Cry11Aa1,4
HD-789,BT_Cry4Ba1,4
T0139,BT_Cry4Aa2,4
T0139,BT_Cry10Aa3,4
T0139,BT_Cry11Aa1,4
T0139,BT_Cry4Ba1,4
T0131,BT_Cry4Aa2,4
T0131,BT_Cry10Aa3,4
T0131,BT_Cry11Aa1,4
T0131,BT_Cry4Ba1,4
T0137,BT_Cry4Aa2,4
T0137,BT_Cry10Aa3,4
T0137,BT_Cry11Aa1,4
T0137,BT_Cry4Ba1,4
JW-1,BT_Cry11Aa1,5
JW-1,NOV_Cry4Aa2_99.8_AND28677.1,5
JW-1,BT_Cry10Aa3,5
JW-1,BT_Cry4Ba1,5
JW-1,BT_Cry4Aa2,5
BT-59,BT_Cry4Aa2,4
BT-59,BT_Cry10Aa3,4
BT-59,BT_Cry11Aa1,4
BT-59,BT_Cry4Ba1,4
PBT602,BT_Cry4Ba1,1
KNU-26,BT_Cry4Aa2,4
KNU-26,BT_Cry10Aa3,4
KNU-26,BT_Cry11Aa1,4
KNU-26,BT_Cry4Ba1,4
1.24,BT_Cry11Aa1,5
1.24,BT_Cry10Aa3,5
1.24,BT_Cry4Ba1,5
1.24,BT_Cry4Aa2,5
1.24,NOV_Cry10Aa3_99.0_EEM99282.1,5
FDAARGOS_796,BT_Cry4Aa2,4
FDAARGOS_796,BT_Cry10Aa3,4
FDAARGOS_796,BT_Cry11Aa1,4
FDAARGOS_796,BT_Cry4Ba1,4
BMP144,BT_Cry4Aa2,4
BMP144,BT_Cry10Aa3,4
BMP144,BT_Cry11Aa1,4
BMP144,BT_Cry4Ba1,4
IBL00427,BT_Cry4Aa2,4
IBL00427,BT_Cry10Aa3,4
IBL00427,BT_Cry11Aa1,4
IBL00427,BT_Cry4Ba1,4
Bti,BT_Cry4Aa2,4
Bti,BT_Cry10Aa3,4
Bti,BT_Cry11Aa1,4
Bti,BT_Cry4Ba1,4
AK8,BT_Cry4Aa2,4
AK8,BT_Cry10Aa3,4
AK8,BT_Cry11Aa1,4
AK8,BT_Cry4Ba1,4
BGSC 4AX1,BT_Cry4Aa2,4
BGSC 4AX1,BT_Cry10Aa3,4
BGSC 4AX1,BT_Cry11Aa1,4
BGSC 4AX1,BT_Cry4Ba1,4
4S3,NOV_Cry7Fb2_99.9_WP_080989246.1,2
4S3,NOV_Cry7Ga2_98.2_AHB36892.1,2
BN23-5,BT_Cry1Ie5,5
BN23-5,BT_Cry2Ab32,5
BN23-5,BT_Cry1Aj1,5
BN23-5,BT_Cry1Dd1,5
BN23-5,BT_Cry1Hc1,5
EG 5847,BT_Cry1Ja1,2
EG 5847,BT_Cry1Bb1,2
AFS015413,BT_Cry1Ja1,2
AFS015413,NOV_Cry1Ib11_99.9_KIP24195.1,2
BGSC 4BD1,NOV_Cry8La1_99.9_WP_000074807.1,1
NBIC380,NOV_Cry1Ac10_99.9_AXP29732.1,1
DP1019,NOV_Cry9Db1_99.9_ACS12637.1,3
DP1019,BT_Cry9Ed1,3
DP1019,BT_Cry9Db1,3
DB27,BT_Cry21Ha1,3
DB27,BT_Cry21Ga1,3
DB27,BT_Cry21Fa1,3
G25-87,BT_Cry21Ga1,2
G25-87,BT_Cry21Fa1,2
G25-91,BT_Cry21Ga1,1
G25-78,BT_Cry21Ga1,2
G25-78,BT_Cry21Fa1,2
ARP076,BT_Cry32Ha1,1
QZL20-1,BT_Cry7Ac1,1
HD29,BT_Cry1Cb1,10
HD29,BT_Cry2Ac11,10
HD29,BT_Cry1Aa12,10
HD29,BT_Cry1Da1,10
HD29,BT_Cry2Ad5,10
HD29,BT_Cry1Ac1,10
HD29,BT_Cry1Ca15,10
HD29,BT_Cry2Ab1,10
HD29,BT_Cry9Ea1,10
HD29,BT_Cry1Ia10,10
ARP140,BT_Cry7Da1,1
HD521,NOV_Cry7Fb2_99.9_WP_080989246.1,5
HD521,BT_Cry7Fb3,5
HD521,BT_Cry7Ga2,5
HD521,BT_Cry7Fb2,5
HD521,BT_Cry7Da1,5
BTIPP003,BT_Cry7Da1,2
BTIPP003,BT_Cry7Ga2,2
LH-2,BT_Cry7Da1,1
NEAU B-X5,BT_Cry1Ab36,2
NEAU B-X5,NOV_Cry2Ab4_99.7_AUN50233.1,2
LBIT-418,BT_Cry2Aa1,2
LBIT-418,NOV_Cry1Ac2_99.8_OTZ14059.1,2
4F4,NOV_Cry1Ia14_99.6_OTX17809.1,5
4F4,BT_Cry2Aa1,5
4F4,BT_Cry2Ab4,5
4F4,BT_Cry1Ea11,5
4F4,NOV_Cry1Ac2_99.8_OTZ14059.1,5
BGSC 4J5,NOV_Cry1Ia14_99.6_OTX17809.1,4
BGSC 4J5,BT_Cry2Aa1,4
BGSC 4J5,BT_Cry1Ea11,4
BGSC 4J5,NOV_Cry1Ac2_99.8_OTZ14059.1,4
MOD1_Bc21,NOV_Cry1Ac2_99.8_OTZ14059.1,1
HD5,NOV_Cry1Ia14_99.6_OTX17809.1,4
HD5,BT_Cry2Aa1,4
HD5,BT_Cry1Ea11,4
HD5,NOV_Cry1Ac2_99.8_OTZ14059.1,4
4F1,NOV_Cry1Ia14_99.6_OTX17809.1,5
4F1,BT_Cry2Aa1,5
4F1,BT_Cry2Ab4,5
4F1,BT_Cry1Ea11,5
4F1,NOV_Cry1Ac2_99.8_OTZ14059.1,5
4F2,NOV_Cry1Ac2_99.8_OTZ14059.1,1
HD395,BT_Cry2Ba2,2
HD395,BT_Cry1Ma2,2
T03B001,BT_Cry1Ie2,6
T03B001,BT_Cry9Da4,6
T03B001,BT_Cry9Da3,6
T03B001,BT_Cry9Ee1,6
T03B001,BT_Cry9Eb2,6
T03B001,BT_Cry1Na2,6
146-158-01,BT_Cry1Ac24,2
146-158-01,BT_Cry2Aa13,2
Q-12,BT_Cry1Ac28,1
CYZ-4,BT_Cry2Ab33,1
ARP193,BT_Cry2Ah4,1
SL39,BT_Cry2Aa5,1
AFS059039,NOV_Cry70Ba1_97.3_PER34669.1,8
AFS059039,NOV_Cry40Da1_66.9_PER55269.1,8
AFS059039,NOV_Cry70Aa1_77.7_WP_098222608.1,8
AFS059039,NOV_Cry9Ga1_58.2_PFW49142.1,8
AFS059039,NOV_Cry68Aa1_80.1_PER38368.1,8
AFS059039,NOV_Cry71Aa1_65.9_PER41598.1,8
AFS059039,NOV_Cry69Ab1_58.0_PER42111.1,8
AFS059039,NOV_Cry56Aa4_56.4_PER37538.1,8
AFS030866,NOV_Cry70Ba1_97.3_PER34669.1,7
AFS030866,NOV_Cry40Da1_66.9_PER55269.1,7
AFS030866,NOV_Cry70Aa1_77.7_WP_098222608.1,7
AFS030866,NOV_Cry69Ab1_58.0_PER42111.1,7
AFS030866,NOV_Cry68Aa1_80.1_PER38368.1,7
AFS030866,NOV_Cry71Aa1_65.9_PER41598.1,7
AFS030866,NOV_Cry9Ga1_58.4_WP_098995610.1,7
FBG25,BT_Cry54Aa2,1
PS81I,BT_Cry1Ca3,3
PS81I,BT_Cry1Fa1,3
PS81I,BT_Cry1Ad1,3
Btc001,BT_Cry1Cb1,1
87-29,BT_Cry31Ac1,1
WB2,BT_Cry2Ab8,1
PS9-D12,BT_Cry1Aa18,1
ARP055,BT_Cry32Fa1,1
SSy125-c,BT_Cry2Ab18,2
SSy125-c,BT_Cry1Ab27,2
SSy111-c,BT_Cry1Ab32,2
SSy111-c,BT_Cry2Ab18,2
YBT-1518,BT_Cry5Ba2,1
G25-43,BT_Cry5Ba2,1
BfR-BA-01356,BT_Cry1Ba2,2
BfR-BA-01356,NOV_Cry1Ia14_99.9_WP_103597599.1,2
Bm59-2,BT_Cry52Ba1,2
Bm59-2,BT_Cry59Ba1,2
IEBC-T63 001,NOV_Cry70Bb1_98.6_AGU12794.1,1
B12,NOV_Cry1Ac10_99.0_AKJ79185.1,1
SSy77,BT_Cry2Ab26,2
SSy77,BT_Cry2Aa15,2
ARP256,BT_Cry32Ma1,1
ARP021,BT_Cry7Ha1,1
QBL-27,NOV_Cry1Ia9_99.7_AHL84185.1,2
QBL-27,NOV_Cry1Ac5_99.9_AHK23266.1,2
TOL651,NOV_Cry1Ac5_99.9_AHK23266.1,1
K3,BT_Cry1Ab33,2
K3,NOV_Cry1Jc1_99.1_AAS93799.1,2
T25,NOV_Cry1Da1_99.8_ACV81776.1,1
ARP135,BT_Cry8Ib2,1
HD-1-02,BT_Cry1Aa10,1
SK700,NOV_Cry4Ba1_63.7_AJW76684.1,3
SK700,BT_Cry4Ca2,3
SK700,BT_Cry52Ca1,3
AFS038158,NOV_Cry73Ba1_39.0_PGU92045.1,1
mo3-D10,BT_Cry1Fa4,1
DAB-Bt3,NOV_Cry4Aa1_98.5_ABR12214.1,4
DAB-Bt3,NOV_Cry11Aa1_98.9_ABW89739.1,4
DAB-Bt3,NOV_Cry4Ba1_98.9_ABR22237.1,4
DAB-Bt3,NOV_Cry10Aa1_97.0_ABW89733.1,4
Q52-7,BT_Cry8Na1,1
DAB-Bt5,NOV_Cry11Aa1_95.8_ABW89741.1,4
DAB-Bt5,NOV_Cry10Aa1_97.2_ABW89735.1,4
DAB-Bt5,NOV_Cry4Ba1_96.9_ABR22239.1,4
DAB-Bt5,NOV_Cry4Aa1_98.1_ABR12215.1,4
BGSC 4CE1,BT_Cry4Da1,5
BGSC 4CE1,BT_Cry8Ma2,5
BGSC 4CE1,NOV_Cry8Ia4_99.0_OTY74147.1,5
BGSC 4CE1,NOV_Cry53Ab1_39.4_AFM37573.1,5
BGSC 4CE1,BT_Cry8Ta1,5
2260,NOV_Cry2Ab15_99.6_ACZ64281.1,1
HQ122,BT_Cry7Ab4,2
HQ122,BT_Cry7Ab6,2
HTS-S-38,BT_Cry2Ab31,2
HTS-S-38,BT_Cry1Aa11,2
YC-10,BT_Cry2Aa1,5
YC-10,BT_Cry1Ac17,5
YC-10,BT_Cry1Aa11,5
YC-10,BT_Cry2Ab1,5
YC-10,BT_Cry1Ia10,5
G25-96,BT_Cry2Aa1,5
G25-96,BT_Cry1Ac17,5
G25-96,BT_Cry1Aa11,5
G25-96,BT_Cry2Ab1,5
G25-96,BT_Cry1Ia10,5
IBL03111,BT_Cry2Aa1,5
IBL03111,BT_Cry1Ac17,5
IBL03111,BT_Cry1Aa11,5
IBL03111,BT_Cry2Ab1,5
IBL03111,BT_Cry1Ia10,5
IBL00503,BT_Cry2Aa1,5
IBL00503,BT_Cry1Ac17,5
IBL00503,BT_Cry1Aa11,5
IBL00503,BT_Cry2Ab1,5
IBL00503,BT_Cry1Ia10,5
IBL01259,BT_Cry2Aa1,5
IBL01259,BT_Cry1Ac17,5
IBL01259,BT_Cry1Aa11,5
IBL01259,BT_Cry2Ab1,5
IBL01259,BT_Cry1Ia10,5
IBL01313,BT_Cry2Aa1,5
IBL01313,BT_Cry1Ac17,5
IBL01313,BT_Cry1Aa11,5
IBL01313,BT_Cry2Ab1,5
IBL01313,BT_Cry1Ia10,5
BNS3,BT_Cry1Ia11,3
BNS3,NOV_Cry2Aa1_99.8_CAD32378.1,3
BNS3,BT_Cry1Aa11,3
HD 1i,BT_Cry1Ab1,6
HD 1i,BT_Cry2Aa1,6
HD 1i,BT_Cry1Ac17,6
HD 1i,BT_Cry1Aa11,6
HD 1i,BT_Cry2Ab1,6
HD 1i,BT_Cry1Ia10,6
x023,BT_Cry2Aa1,4
x023,BT_Cry1Aa11,4
x023,BT_Cry2Ab1,4
x023,BT_Cry1Ia10,4
PS9-E2,BT_Cry1Aa11,1
ABTS-351,BT_Cry1Ac4,6
ABTS-351,BT_Cry2Aa1,6
ABTS-351,BT_Cry1Ac17,6
ABTS-351,BT_Cry1Aa11,6
ABTS-351,BT_Cry2Ab1,6
ABTS-351,BT_Cry1Ia10,6
BMG1.7,BT_Cry2Aa1,5
BMG1.7,BT_Cry1Ac17,5
BMG1.7,BT_Cry1Aa11,5
BMG1.7,BT_Cry2Ab1,5
BMG1.7,BT_Cry1Ia10,5
BGSC 4L3,BT_Cry2Aa1,5
BGSC 4L3,BT_Cry1Ac17,5
BGSC 4L3,BT_Cry1Aa11,5
BGSC 4L3,BT_Cry2Ab1,5
BGSC 4L3,BT_Cry1Ia10,5
D1,BT_Cry1Aa11,1
SA11,BT_Cry2Aa1,4
SA11,BT_Cry1Aa11,4
SA11,BT_Cry2Ab1,4
SA11,BT_Cry1Ia10,4
HD-1,NOV_Cry1Aa12_99.7_AEB21634.1,15
HD-1,NOV_Cry1Ac20_89.0_KEH48722.1,15
HD-1,BT_Cry1Ab1,15
HD-1,BT_Cry1Ac13,15
HD-1,BT_Cry1Ia3,15
HD-1,NOV_Cry2Aa1_99.4_AIE37446.1,15
HD-1,BT_Cry2Aa1,15
HD-1,BT_Cry1Ac17,15
HD-1,NOV_Cry1Aa11_99.9_AIE37439.1,15
HD-1,BT_Cry1Aa11,15
HD-1,BT_Cry2Ab1,15
HD-1,NOV_Cry2Ab16_99.8_AIE37434.1,15
HD-1,BT_Cry1Ac23,15
HD-1,BT_Cry1Ab10,15
HD-1,BT_Cry1Ia10,15
96-OK-85-24,BT_Cry50Aa1,3
96-OK-85-24,BT_Cry24Ba1,3
96-OK-85-24,BT_Cry30Ca1,3
BRC-ZYR2,BT_Cry1Na3,1
Bts,BT_Cry9Ea5,2
Bts,BT_Cry2Ab14,2
BRI-144,NOV_Cry1Ia11_96.7_AXE42967.1,2
BRI-144,NOV_Cry1Ac13_96.1_AXE42966.1,2
C1Ac86,NOV_Cry1Ac13_96.1_AXE42966.1,1
Bt_IIHR MLW,NOV_Cry1Ib10_97.2_AHX73744.1,1
Sbt030,BT_Cry8Ia3,2
Sbt030,BT_Cry8Ma3,2
QCL-1,BT_Cry2Ac10,1
ARP260,BT_Cry1Bi1,1
SK-784,BT_Cry1Ac35,1
NRD-12,BT_Cry1Aa6,3
NRD-12,BT_Cry1Ac6,3
NRD-12,BT_Cry1Ab6,3
ARP185,BT_Cry32Sa1,1
AFS033477,BT_Cry32Sa1,1
DAB-Bt6,NOV_Cry10Aa1_94.4_ABW89736.1,4
DAB-Bt6,NOV_Cry11Aa1_96.3_ABW89742.1,4
DAB-Bt6,NOV_Cry4Ba1_98.1_ABR22240.1,4
DAB-Bt6,NOV_Cry4Aa1_98.7_ABR12216.1,4
G7-1,NOV_Cry30Ga2_99.2_ADK47393.1,2
G7-1,BT_Cry56Aa2,2
HBF-18,BT_Cry8Ga2,3
HBF-18,BT_Cry8Ga1,3
HBF-18,NOV_Cry8Db1_51.1_PNK22955.1,3
BGSC 4BP1,NOV_Cry7Cb1_60.4_OTY00887.1,3
BGSC 4BP1,BT_Cry7Ka1,3
BGSC 4BP1,NOV_Cry7Gc1_99.8_OTY00858.1,3
ARP171,BT_Cry7Ka1,1
Rpp39,BT_Cry2Aa12,1
Bt2-56,NOV_Cry21Ea1_36.9_AGS78123.2,2
Bt2-56,NOV_Cry21Ea1_32.5_AGS78122.1,2
FB,NOV_Cry1Ea11_98.1_AEV45789.1,4
FB,NOV_Cry1Ab12_99.9_AEV45790.1,4
FB,BT_Cry2Ab4,4
FB,NOV_Cry1Ia9_99.7_AEV45788.1,4
Sbt009,BT_Cry7Ea1,4
Sbt009,BT_Cry67Aa2,4
Sbt009,BT_Cry7Fa1,4
Sbt009,BT_Cry61Aa1,4
FDAARGOS_800,BT_Cry1Ka2,3
FDAARGOS_800,NOV_Cry1Ib11_99.9_KIP24195.1,3
FDAARGOS_800,NOV_Cry1Ka1_98.4_KIP24267.1,3
HD 600,BT_Cry1Ka2,3
HD 600,NOV_Cry1Ib11_99.9_KIP24195.1,3
HD 600,NOV_Cry1Ka1_98.4_KIP24267.1,3
LB52,BT_Cry1Ib6,1
ARP096,BT_Cry32Hb1,1
A1462,BT_Cry41Ab1,3
A1462,BT_Cry41Aa1,3
A1462,BT_Cry42Aa1,3
DOR BT-1,BT_Cry1Ab26,1
xl6-4,NOV_Cry7Ea2_99.9_AFI42038.1,1
BRC-ZQL3,BT_Cry2Ah2,1
ARP092,BT_Cry32Eb1,1
MHY1.11,NOV_Cry8Da1_99.6_CBL59396.1,1
2173,BT_Cry48Ab2,1
DAB-Bt4,NOV_Cry4Ba1_98.5_ABR22238.1,4
DAB-Bt4,NOV_Cry11Aa1_97.8_ABW89740.1,4
DAB-Bt4,NOV_Cry4Aa1_98.4_ABR12218.1,4
DAB-Bt4,NOV_Cry10Aa1_98.2_ABW89734.1,4
MSS8.4,NOV_Cry2Aa1_99.2_AJA30268.1,1
YZ71,BT_Cry2Aa6,1
YY1,BT_Cry2Ab15,1
NBRC 100599,NOV_Cry1Ie4_24.0_BAH45672.1,1
BGSC 4AO1,BT_Cry9Da1,6
BGSC 4AO1,BT_Cry1Ie2,6
BGSC 4AO1,BT_Cry9Eb1,6
BGSC 4AO1,BT_Cry1Na1,6
BGSC 4AO1,NOV_Cry9Aa4_99.9_OTW93738.1,6
BGSC 4AO1,NOV_Cry9Ee2_99.1_OTW84856.1,6
4M5,BT_Cry1Ie2,3
4M5,NOV_Cry9Aa4_99.8_OTX08738.1,3
4M5,BT_Cry1Na1,3
BC-01,BT_Cry1Ie2,2
BC-01,NOV_Cry9Da4_99.7_OTW84346.1,2
BGSC 4AP1,NOV_Cry9Aa4_99.8_OTX08738.1,5
BGSC 4AP1,NOV_Cry9Ee2_98.9_OTW94166.1,5
BGSC 4AP1,BT_Cry1Ie2,5
BGSC 4AP1,BT_Cry1Na1,5
BGSC 4AP1,NOV_Cry9Da3_99.7_OTW94050.1,5
ARP058,BT_Cry1Ie2,1
BGSC 4CD1,BT_Cry21Ea1,3
BGSC 4CD1,BT_Cry21Ca2,3
BGSC 4CD1,BT_Cry21Da1,3
ARP258,BT_Cry21Ca2,1
C-33,BT_Cry1Ac19,2
C-33,BT_Cry1Ca11,2
EG2158,BT_Cry3Aa12,1
NB176,BT_Cry3Aa12,2
NB176,BT_Cry3Aa1,2
wu1E-3,BT_Cry1Ia20,1
Bt S185,BT_Cry8Ea1,2
Bt S185,BT_Cry8Ca4,2
QZL144-4,BT_Cry8Ea1,1
GWL,BT_Cry8Ea1,1
31-5,BT_Cry31Ab2,1
BA04,NOV_Cry73Aa1_40.0_PQQ47537.1,2
BA04,NOV_Cry1Ie5_79.3_PQQ47595.1,2
S6,BT_Cry1Ah3,2
S6,BT_Cry1Ea9,2
PS9-C12,BT_Cry2Ab17,2
PS9-C12,BT_Cry1Aa17,2
QHW7-2,BT_Cry8Ka3,2
QHW7-2,BT_Cry8Fa4,2
BGSC 4CF1,NOV_Cry24Aa1_98.3_WP_086403584.1,3
BGSC 4CF1,NOV_Cry25Aa1_97.8_OUB78400.1,3
BGSC 4CF1,BT_Cry11Ba1,3
Ywc2-8,BT_Cry30Ea2,3
Ywc2-8,BT_Cry56Aa1,3
Ywc2-8,BT_Cry4Cb2,3
ARP271,BT_Cry7Gd1,1
SSy126-c,BT_Cry1Ab30,4
SSy126-c,BT_Cry1Ab31,4
SSy126-c,BT_Cry2Ab22,4
SSy126-c,BT_Cry2Ab23,4
Sbt011,NOV_Cry7Ia1_99.9_AEH76815.1,1
ARP057,BT_Cry9Eb3,1
JF21-1,NOV_Cry2Ba1_29.9_AEX63666.1,1
BT62,NOV_Cry8Ib2_94.6_WP_103622992.1,4
BT62,NOV_Cry8Sa1_99.9_WP_103622574.1,4
BT62,BT_Cry8Sa1,4
BT62,NOV_Cry8Ma2_96.0_WP_103622989.1,4
PS80JJ1,BT_Cry14Aa1,1
BN15-6,BT_Cry54Ba2,2
BN15-6,BT_Cry30Ea4,2
4L2,BT_Cry2Aa8,3
4L2,BT_Cry2Ab4,3
4L2,BT_Cry1Ia12,3
Dongbei 66,BT_Cry2Aa8,1
4L4,BT_Cry2Aa8,2
4L4,BT_Cry2Ab4,2
Pasteur Institute Standard strain,BT_Cry2Aa8,3
Pasteur Institute Standard strain,NOV_Cry1Ea11_98.2_BAR87554.1,3
Pasteur Institute Standard strain,BT_Cry1Ia10,3
NHA15b,BT_Cry48Aa1,1
47-6B,BT_Cry48Aa1,1
IAB59,BT_Cry48Aa1,1
Sbt021,BT_Cry66Aa1,1
BGSC 4AS1,BT_Cry41Ba2,3
BGSC 4AS1,BT_Cry66Aa1,3
BGSC 4AS1,NOV_Cry66Aa1_99.0_OUA92623.1,3
BGSC 4AW1,NOV_Cry1Ia14_99.6_OTX17809.1,7
BGSC 4AW1,BT_Cry2Aa1,7
BGSC 4AW1,NOV_Cry41Ca1_39.9_WP_001075423.1,7
BGSC 4AW1,BT_Cry2Ab4,7
BGSC 4AW1,NOV_Cry1Ac2_99.9_OTX40985.1,7
BGSC 4AW1,BT_Cry41Ba2,7
BGSC 4AW1,BT_Cry66Aa1,7
PS184M1,NOV_Cry7Ha1_99.2_AGM39663.1,2
PS184M1,NOV_Cry7Gb1_94.1_AGM39662.1,2
SWK1,BT_Cry2Al1,1
MPU B5,BT_Cry2Ab36,3
MPU B5,BT_Cry1Aa12,3
MPU B5,BT_Cry1Ca15,3
QZL183-2,NOV_Cry8Ca1_99.7_AGV52973.1,1
AH603,BT_Cry70Bb1,1
you2E-3,BT_Cry1Ia27,1
BtG7,NOV_Cry1Ab12_98.5_AGI21848.1,1
