Strain/Toxin,Host_sp,Host_order,Ref,Type,Rank
BT_Cry1Da1,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Da1,Lymantria dispar,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Da1,Manduca sexta,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Da1,Manduca sexta,Lepidoptera,10.1186/s12866-019-1632-2,Toxin,4
BT_Cry1Da1,Pectinophora gossypiella,Lepidoptera,WO2016061377A2,Toxin,4
BT_Cry1Da1,Sesamia inferens,Lepidoptera,WO2016061377A2,Toxin,4
BT_Cry1Da1,Spodoptera exigua,Lepidoptera,10.1186/s12866-019-1632-2,Toxin,4
BT_Cry1Da1,Spodoptera exigua,Lepidoptera,WO2016061377A2,Toxin,4
BT_Cry1Da1,Spodoptera littoralis,Lepidoptera,10.1016/j.ijbiomac.2018.01.081,Toxin,4
BT_Cry1Da1,Spodoptera litura,Lepidoptera,WO2016061377A2,Toxin,4
BT_Cry1Da,Anticarsia gemmatalis,Lepidoptera,10.1155/2013/940284,Toxin,3
BT_Cry1Da,Bombyx mori,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Da,Choristoneura fumiferana,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Da,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Da,Earias insulana,Lepidoptera,10.1128/AEM.72.1.437-442.2006,Toxin,3
BT_Cry1Da,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2005.04.003,Toxin,3
BT_Cry1Da,Lambdina fiscellaria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Lymantria dispar,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Malacosoma disstria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Orgyia leucostigma,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Da,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2007.11.001,Toxin,3
BT_Cry1Da,Spodoptera frugiperda,Lepidoptera,10.1128/AEM.01454-06,Toxin,3
BT_Cry1Da,Manduca sexta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Db,Epiphyas postvittana,Lepidoptera,10.1093/jee/97.6.1805,Toxin,3
BT_Cry1Db,Bombyx mori,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Db,Spodoptera litura,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Dd1,Helicoverpa armigera,Lepidoptera,CN105367636B,Toxin,4
BT_Cry1Dd1,Plutella xylostella,Lepidoptera,CN105367636B,Toxin,4
BT_Cry1Ea11,Bursaphelenchus xylophilus,Nematoda,10.1094/PHYTO-05-17-0179-R,Toxin,4
BT_Cry1Ea1,Bombyx mori,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ea1,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ea,Anticarsia gemmatalis,Lepidoptera,10.1155/2013/940284,Toxin,3
BT_Cry1Ea,Anticarsia gemmatalis,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ea,Bombyx mori,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ea,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ea,Choristoneura fumiferana,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ea,Chrysodeixis includens,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ea,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ea,Lambdina fiscellaria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ea,Malacosoma disstria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ea,Spodoptera frugiperda,Lepidoptera,10.1007/s12010-019-02952-z,Toxin,3
BT_Cry1Ea,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Choristoneura occidentalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Choristoneura rosaceana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Manduca sexta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Spodoptera exempta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ea,Spodoptera littoralis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Eb1,Plutella xylostella,Lepidoptera,US5206166,Toxin,4
BT_Cry1Eb1,Spodoptera exigua,Lepidoptera,US5206166,Toxin,4
BT_Cry1Eb1,Trichoplusia ni,Lepidoptera,US5206166,Toxin,4
BT_Cry1Fa1,Bombyx mori,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Fa1,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Fa,Anticarsia gemmatalis,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry1Fa,Bombyx mori,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Fa,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Fa,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Fa,Chrysodeixis includens,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry1Fa,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry1Fa,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Fa,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Fa,Earias insulana,Lepidoptera,10.1016/j.biocontrol.2008.07.003,Toxin,3
BT_Cry1Fa,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry1Fa,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry1Fa,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry1Fa,Ostrinia nubilalis,Lepidoptera,10.1371/journal.pone.0068164,Toxin,3
BT_Cry1Fa,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2007.11.001,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1002/ps.4312,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1002/ps.6170,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1016/j.ecoenv.2019.109577,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1016/j.ibmb.2021.103608,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1128/AEM.06212-11,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0068164,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0119544,Toxin,3
BT_Cry1Fa,Spodoptera frugiperda,Lepidoptera,10.3390/toxins12060375,Toxin,3
BT_Cry1Fa,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Choristoneura fumiferana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Choristoneura occidentalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Choristoneura rosaceana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Heliothis virescens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Lymantria dispar,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Spodoptera littoralis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fa,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Fb1,Agrotis ipsilon,Lepidoptera,10.1007/s00203-003-0543-6,Toxin,4
BT_Cry1Gb1,Pieris rapae,Lepidoptera,10.1007/s002849910046,Toxin,4
BT_Cry1Gc1,Agrotis ipsilon,Lepidoptera,US20070061919A1,Toxin,4
BT_Cry1Gc1,Ostrinia nubilalis,Lepidoptera,US20070061919A1,Toxin,4
BT_Cry1Gc1,Plutella xylostella,Lepidoptera,US20070061919A1,Toxin,4
BT_Cry1Gc1,Trichoplusia ni,Lepidoptera,US20070061919A1,Toxin,4
BT_Cry1Hb1,Arfogeia rapae,Lepidoptera,10.1111/j.1574-6968.1995.tb07931.x,Toxin,4
BT_Cry1Hc1,Helicoverpa armigera,Lepidoptera,CN105367635B,Toxin,4
BT_Cry1Hc1,Plutella xylostella,Lepidoptera,CN105367635B,Toxin,4
BT_Cry1Ia10,Caenorhabditis elegans,Nematoda,10.1007/s11033-019-05010-3,Toxin,4
BT_Cry1Ia12,Anthonomus grandis,Coleoptera,10.5483/bmbrep.2007.40.5.773,Toxin,4
BT_Cry1Ia12,Spodoptera frugiperda,Lepidoptera,10.5483/bmbrep.2007.40.5.773,Toxin,4
BT_Cry1Ia13,Anthonomus grandis,Coleoptera,US6593293B1,Toxin,4
BT_Cry1Ia13,Spodoptera frugiperda,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Ia1,Phthorimaea operculella,Lepidoptera,10.21273/JASHS.135.4.317,Toxin,4
BT_Cry1Ia3,Bombyx mori,Lepidoptera,10.1007/s002840010093,Toxin,4
BT_Cry1Ia3,Plutella xylostella,Lepidoptera,10.1007/s002840010093,Toxin,4
BT_Cry1Ia7,Acanthoscelides obtectus ,Coleoptera,10.1016/j.jip.2019.107295,Toxin,4
BT_Cry1Ia7,Earias insulana,Lepidoptera,10.1128/AEM.02861-05,Toxin,4
BT_Cry1Ia7,Leptinotarsa decemlineata,Coleoptera,10.1128/AEM.02861-05,Toxin,4
BT_Cry1Ia7,Lobesia botrana,Lepidoptera,10.1128/AEM.02861-05,Toxin,4
BT_Cry1Ia7,Plutella xylostella,Lepidoptera,10.1128/AEM.02861-05,Toxin,4
BT_Cry1Ia7,Xylotrechus arvicola,Coleoptera,10.3390/ insects13010027,Toxin,4
BT_Cry1Ia8,Plutella xylostella,Lepidoptera,10.1016/S1671-2927(11)60167-3,Toxin,4
BT_Cry1Ia,Anthonomus grandis,Coleoptera,10.1111/j.1365-2672.2007.03665.x,Toxin,3
BT_Cry1Ia,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ia,Cydia pomonella,Lepidoptera,10.1002/ps.6157,Toxin,3
BT_Cry1Ia,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Ia,Cydia pomonella,Lepidoptera,10.1016/j.jip.2020.107354,Toxin,3
BT_Cry1Ia,Earias insulana,Lepidoptera,10.1128/AEM.72.1.437-442.2006,Toxin,3
BT_Cry1Ia,Leptinotarsa decemlineata,Coleoptera,10.1128/AEM.02861-05,Toxin,3
BT_Cry1Ia,Lobesia botrana,Lepidoptera,10.1128/AEM.01511-06,Toxin,3
BT_Cry1Ia,Rachiplusia nu,Lepidoptera,10.1016/j.jip.2020.107354,Toxin,3
BT_Cry1Ia,Spodoptera frugiperda,Lepidoptera,10.1111/j.1365-2672.2007.03665.x,Toxin,3
BT_Cry1Ia,Bombyx mori,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ia,Epiphyas postvittana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ia,Ostrinia nubilalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ia,Pieris rapae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ia,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ia,Spodoptera litura,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ib6,Plutella xylostella,Lepidoptera,Ji-guo,2011,Toxin
BT_Cry1Ic1,Diabrotica virgifera virgifera,Coleoptera,US5986177A,Toxin,4
BT_Cry1Id1,Bombyx mori,Lepidoptera,10.1007/s002840010093,Toxin,4
BT_Cry1Id1,Plutella xylostella,Lepidoptera,10.1007/s002840010093,Toxin,4
BT_Cry1Ie1,Leguminivora glycinivorella,Lepidoptera,10.1128/AEM.69.9.5207-5211.2003,Toxin,4
BT_Cry1Ie1,Ostrinia furnacalis,Lepidoptera,10.1128/AEM.69.9.5207-5211.2003,Toxin,4
BT_Cry1Ie1,Plutella xylostella,Lepidoptera,10.1128/AEM.69.9.5207-5211.2003,Toxin,4
BT_Cry1Ie4,Diatraea grandiosella,Lepidoptera,US8318900B2,Toxin,4
BT_Cry1Ie4,Plutella xylostella,Lepidoptera,US8318900B2,Toxin,4
BT_Cry1Ie5,Ostrinia nubilalis,Lepidoptera,CN105367634B,Toxin,4
BT_Cry1Ie5,Plutella xylostella,Lepidoptera,CN105367634B,Toxin,4
BT_Cry1Ie,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry1Ie,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry1Ie,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry1Ie,Ostrinia furnacalis,Lepidoptera,10.1371/journal.pone.0168442,Toxin,3
BT_Cry1Ie,Leguminivora glycinivorella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ie,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1If1,Helicoverpa zea,Lepidoptera,10.1007/s12539-013-0160-2,Toxin,4
BT_Cry1Ig1,Diatraea grandiosella,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Ig1,Ostrinia nubilalis,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Ig1,Plutella xylostella,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Ja1,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2005.04.003,Toxin,4
BT_Cry1Ja2,Manduca sexta,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Ja2,Plutella xylostella,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Ja2,Spodoptera frugiperda,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Ja,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ja,Helicoverpa zea,Lepidoptera,10.1007/s12539-013-0160-2,Toxin,3
BT_Cry1Ja,Chrysodeixis includens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Heliothis virescens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Lymantria dispar,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Manduca sexta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Ostrinia nubilalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Pectinophora gossypiella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Spodoptera frugiperda,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ja,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jb1,Helicoverpa armigera,Lepidoptera,Chelliah and Kumar,2013,Toxin
BT_Cry1Jb1,Plutella xylostella,Lepidoptera,US5356623A,Toxin,4
BT_Cry1Jc2,Agrotis ipsilon,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc2,Helicoverpa zea,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc2,Heliothis virescens,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc2,Ostrinia furnacalis,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc2,Plutella xylostella,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc2,Trichoplusia ni,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Jc,Helicoverpa zea,Lepidoptera,10.1007/s12539-013-0160-2,Toxin,3
BT_Cry1Jc,Agrotis ipsilon,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jc,Heliothis virescens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jc,Ostrinia nubilalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jc,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jc,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Jd1,Heliothis virescens,Lepidoptera,WO2001047952A2,Toxin,4
BT_Cry1La1,Plutella xylostella,Lepidoptera,PMID:18051348,Toxin,4
BT_Cry1La1,Spodoptera exigua,Lepidoptera,PMID:18051348,Toxin,4
BT_Cry1Na1,Agrotis ipsilon,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Helicoverpa zea,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Heliothis virescens,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Lygus lineolaris,Hemiptera,WO2004074462,Toxin,4
BT_Cry1Na1,Manduca sexta,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Ostrinia nubilalis,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Pectinophora gossypiella,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Spodoptera frugiperda,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na1,Trichoplusia ni,Lepidoptera,WO2004074462,Toxin,4
BT_Cry1Na3,Colaphellus bowringi,Coleoptera,10.1093/jee/tow031,Toxin,4
BT_Cry1Na3,Laodelphax striatellus,Hemiptera,10.1093/jee/tow031,Toxin,4
BT_Cry1Na3,Ostrinia furnacalis,Lepidoptera,10.1093/jee/tow031,Toxin,4
BT_Cry1Na3,Plutella xylostella,Lepidoptera,10.1093/jee/tow031,Toxin,4
BT_Cry1Na3,Spodoptera exigua,Lepidoptera,10.1093/jee/tow031,Toxin,4
BT_Cry1Nb1,Anticarsia gemmatalis,Lepidoptera,US8084416B2,Toxin,4
BT_Cry1Nb1,Diatraea grandiosella,Lepidoptera,US8084416B2,Toxin,4
BT_Cry1Nb1,Ostrinia nubilalis,Lepidoptera,US8084416B2,Toxin,4
BT_Cry1Nb1,Plutella xylostella,Lepidoptera,US8084416B2,Toxin,4
BT_Cry20Aa1,Aedes aegypti,Diptera,10.1128/aem.63.12.4664-4670.1997,Toxin,4
BT_Cry20Aa1,Culex quinquefasciatus,Diptera,10.1128/aem.63.12.4664-4670.1997,Toxin,4
BT_Cry20Ba2,Plutella xylostella,Lepidoptera,US8461415B2,Toxin,4
BT_Cry21Aa1,Acrobeloides sp,Nematoda,10.1073/pnas.0538072100,Toxin,4
BT_Cry21Aa1,Caenorhabditis elegans,Nematoda,10.1073/pnas.0538072100,Toxin,4
BT_Cry21Aa1,Distolabrellus veechi,Nematoda,10.1073/pnas.0538072100,Toxin,4
BT_Cry21Aa1,Heligmosomoides polygyrus bakeri,Nematoda,10.1073/pnas.0912327107,Toxin,4
BT_Cry21Aa1,Nippostrongylus brasiliensis,Nematoda,10.1073/pnas.0538072100,Toxin,4
BT_Cry21Aa1,Panagrellus redivivus,Nematoda,10.1073/pnas.0538072100,Toxin,4
BT_Cry21Aa2,Caenorhabditis elegans,Nematoda,10.1016/j.jip.2015.11.009,Toxin,4
BT_Cry21Aa3,Bursaphelenchus xylophilus,Nematoda,10.1016/j.jip.2022.107726,Toxin,4
BT_Cry21Aa3,Caenorhabditis elegans,Nematoda,10.1007/s00203-020-02179-1,Toxin,4
BT_Cry21Aa,Caenorhabditis elegans,Nematoda,10.1038/srep14395,Toxin,3
BT_Cry21Aa,Caenorhabditis elegans,Nematoda,10.1111/1462-2920.14528,Toxin,3
BT_Cry21Aa,Acrobeloides sp,Nematoda,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry21Aa,Distolabrellus veechi,Nematoda,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry21Aa,Nippostrongylus brasiliensis,Nematoda,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry21Aa,Panagrellus redivivus,Nematoda,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry21Fa1,Bursaphelenchus xylophilus,Nematoda,10.1016/j.jip.2022.107726,Toxin,4
BT_Cry21Fa1,Caenorhabditis elegans,Nematoda,10.1128/AEM.00464-14,Toxin,4
BT_Cry24Ca1,Aedes aegypti,Diptera,10.1007/s00284-006-0299-8,Toxin,4
BT_Cry27Aa1,Aedes aegypti,Diptera,10.1016/S0723-2020(00)80042-9,Toxin,4
BT_Cry27Aa1,Anopheles stephensi,Diptera,10.1016/S0723-2020(00)80042-9,Toxin,4
BT_Cry27Aa1,Culex pipiens molestus,Diptera,10.1016/S0723-2020(00)80042-9,Toxin,4
BT_Cry29Aa,Anopheles stephensi,Diptera,10.1078/072320203770865783,Toxin,3
BT_Cry2Aa11,Heliothis virescens,Lepidoptera,US6593293B1,Toxin,4
BT_Cry2Aa11,Spodoptera frugiperda,Lepidoptera,US6593293B1,Toxin,4
BT_Cry2Aa11,Trichoplusia ni,Lepidoptera,US6593293B1,Toxin,4
BT_Cry2Aa12,Chilo suppressalis,Lepidoptera,PMID:18652304,Toxin,4
BT_Cry2Aa12,Pieris rapae,Lepidoptera,10.1590/S1517-83822011000100018,Toxin,4
BT_Cry2Aa12,Plutella xylostella,Lepidoptera,PMID:18652304,Toxin,4
BT_Cry2Aa13,Tecia solanivora,Lepidoptera,Villanueva et al. 2009,Toxin,4
BT_Cry2Aa14,Culex quinquefasciatus,Diptera,10.1016/j.toxicon.2009.05.022,Toxin,4
BT_Cry2Aa17,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2017.09.002,Toxin,4
BT_Cry2Aa18,Culex pipiens,Diptera,10.1016/j.micpath.2017.02.016,Toxin,4
BT_Cry2Aa1,Aedes aegypti,Diptera,10.1016/j.jip.2020.107423,Toxin,4
BT_Cry2Aa1,Culex quinquefasciatus,Diptera,10.1128/aem.60.3.896-902.1994,Toxin,4
BT_Cry2Aa1,Helicoverpa armigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,4
BT_Cry2Aa1,Helicoverpa armigera,Lepidoptera,10.1016/S0022-2011(02)00035-6,Toxin,4
BT_Cry2Aa1,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,4
BT_Cry2Aa1,Heliothis virescens,Lepidoptera,10.1128/aem.60.3.896-902.1994,Toxin,4
BT_Cry2Aa1,Trichoplusia ni,Lepidoptera,10.1128/aem.60.3.896-902.1994,Toxin,4
BT_Cry2Aa3,Bombyx mori,Lepidoptera,10.1128/AEM.07123-11,Toxin,4
BT_Cry2Aa3,Lymantria dispar,Lepidoptera,10.1128/AEM.07123-11,Toxin,4
BT_Cry2Aa4,Aedes aegypti,Diptera,10.1007/BF02715864,Toxin,4
BT_Cry2Aa4,Anopheles stephensi,Diptera,10.1007/BF02715864,Toxin,4
BT_Cry2Aa4,Culex quinquefasciatus,Diptera,10.1007/BF02715864,Toxin,4
BT_Cry2Aa,Anopheles gambiae,Diptera,0.1111/j.1574-6968.2011.02403.x ,Toxin,3
BT_Cry2Aa,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry2Aa,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry2Aa,Chrysodeixis includens,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry2Aa,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry2Aa,Earias vitella,Lepidoptera,Pakistan Journal of Zoology Vol. 43, Iss. 3, pages 575-580 (2011)
BT_Cry2Aa,Ephestia kuehniella,Lepidoptera,10.1016/j.biocontrol.2005.06.009,Toxin,3
BT_Cry2Aa,Ephestia kuehniella,Lepidoptera,10.1111/jen.12241,Toxin,3
BT_Cry2Aa,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2014.06.005,Toxin,3
BT_Cry2Aa,Helicoverpa armigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry2Aa,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry2Aa,Helicoverpa zea,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry2Aa,Lobesia botrana,Lepidoptera,10.1128/AEM.01511-06,Toxin,3
BT_Cry2Aa,Macrosiphum euphorbiae,Hemiptera,10.1111/j.1570-7458.1995.tb02003.x,Toxin,3
BT_Cry2Aa,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry2Aa,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry2Aa,Pectinophora gossypiella,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry2Aa,Plodia interpunctella,Lepidoptera,10.1111/jen.12241,Toxin,3
BT_Cry2Aa,Plutella xylostella,Lepidoptera,10.1007/s002849900438,Toxin,3
BT_Cry2Aa,Spodoptera exigua,Lepidoptera,10.1016/S2095-3119(12)60050-1,Toxin,3
BT_Cry2Aa,Spodoptera frugiperda,Lepidoptera,10.1007/s12010-019-02952-z,Toxin,3
BT_Cry2Aa,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0119544,Toxin,3
BT_Cry2Aa,Actebia fennica,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
