tox,ident,species,prot_type
NOV_Cry4Aa1_98.4_ABR12218.1,98.4,Bacillus thuringiensis,all
NOV_Cry8Fa1_99.7_AEA51184.1,99.7,Bacillus thuringiensis,all
NOV_Cry4Cc1_99.4_AFU17015.1,99.4,Bacillus thuringiensis,all
BT_Cry1Be4,100,Bacillus thuringiensis,all
BT_Cry1Ca1,100,Bacillus thuringiensis,all
BT_Cry1Ia1,100,Bacillus thuringiensis,all
BT_Cry1Ac16,100,Bacillus thuringiensis,all
BT_Cry1Aa5,100,Bacillus thuringiensis,all
NOV_Cry9Aa1_99.8_OTY56301.1,99.8,Bacillus thuringiensis,all
BT_Cry5Ba3,100,Bacillus thuringiensis,all
BT_Cry1Ia4,100,Bacillus thuringiensis,all
NOV_Cry9Aa4_99.9_OTW93738.1,99.9,Bacillus thuringiensis,all
NOV_Cry2Aa1_99.4_AIE37446.1,99.4,Bacillus thuringiensis,all
NOV_Cry40Da1_65.0_CAH33958.1,65,Bacillus thuringiensis,all
BT_Cry1Ca13,100,Bacillus thuringiensis,all
BT_Cry1Af1,100,Bacillus thuringiensis,all
BT_Cry2Ah1,100,Bacillus thuringiensis,all
NOV_Cry1Aa11_99.8_AER40296.1,99.8,Bacillus thuringiensis,all
NOV_Cry50Ba2_97.6_AFI42042.1,97.6,Bacillus thuringiensis,all
NOV_Cry30Fa1_98.8_AFU17333.1,98.8,Bacillus thuringiensis,all
NOV_Cry1Ba1_98.9_ABQ23438.1,98.9,Bacillus thuringiensis,all
BT_Cry1Ac13,100,Bacillus thuringiensis,all
NOV_Cry65Aa2_70.8_PFE36768.1,70.8,Bacillus thuringiensis,all
BT_Cry2Ab25,100,Bacillus thuringiensis,all
BT_Cry8Ea1,100,Bacillus thuringiensis,all
NOV_Cry13Aa1_87.1_ANS50148.1,87.1,Bacillus thuringiensis,all
BT_Cry4Cb1,100,Bacillus thuringiensis,all
BT_Cry2Ac3,100,Bacillus thuringiensis,all
NOV_Cry61Aa3_99.9_AFI42035.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ac4,100,Bacillus thuringiensis,all
NOV_Cry1Aa11_99.9_AIE37439.1,99.9,Bacillus thuringiensis,all
NOV_Cry1Da3_99.9_PNK40029.1,99.9,Bacillus thuringiensis,all
NOV_Cry4Ba1_98.9_ABR22237.1,98.9,Bacillus thuringiensis,all
BT_Cry1Ia28,100,Bacillus thuringiensis,all
NOV_Cry69Ab1_58.0_PER42111.1,58,Bacillus thuringiensis,all
BT_Cry2Aa6,100,Bacillus thuringiensis,all
BT_Cry1Ia10,100,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.3_ACU65107.1,99.3,Bacillus thuringiensis,all
BT_Cry1Ca5,100,Bacillus thuringiensis,all
BT_Cry2Ab11,100,Bacillus thuringiensis,all
BT_Cry2Ah4,100,Bacillus thuringiensis,all
NOV_Cry7Fb2_99.9_WP_080989246.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab32,100,Bacillus thuringiensis,all
NOV_Cry2Aa1_99.8_CAD32378.1,99.8,Bacillus thuringiensis,all
BT_Cry31Ab2,100,Bacillus thuringiensis,all
NOV_Cry70Ba1_98.6_AFU17024.1,98.6,Bacillus thuringiensis,all
NOV_Cry1Ae1_99.9_AND11141.1,99.9,Bacillus thuringiensis,all
BT_Cry1Hb2,100,Bacillus thuringiensis,all
NOV_Cry1Ia9_99.7_AHL84185.1,99.7,Bacillus thuringiensis,all
BT_Cry2Ac8,100,Bacillus thuringiensis,all
NOV_Cry11Aa4_99.0_EEM99034.1,99,Bacillus thuringiensis,all
NOV_Cry72Aa1_97.0_AKR12911.1,97,Bacillus thuringiensis,all
NOV_Cry7Ha1_99.5_ADA48966.1,99.5,Bacillus thuringiensis,all
NOV_Cry7Gc1_99.8_OTY00858.1,99.8,Bacillus thuringiensis,all
BT_Cry4Cc1,100,Bacillus thuringiensis,all
BT_Cry1Ab5,100,Bacillus thuringiensis,all
BT_Cry1Aa1,100,Bacillus thuringiensis,all
NOV_Cry9Ga1_58.4_WP_098995610.1,58.4,Bacillus thuringiensis,all
BT_Cry1Ia26,100,Bacillus thuringiensis,all
BT_Cry1Ca3,100,Bacillus thuringiensis,all
BT_Cry1Ac32,100,Bacillus thuringiensis,all
BT_Cry1Ac22,100,Bacillus thuringiensis,all
BT_Cry1Ib4,100,Bacillus thuringiensis,all
BT_Cry2Ac4,100,Bacillus thuringiensis,all
NOV_Cry2Ab4_98.6_OTW61456.1,98.6,Bacillus thuringiensis,all
BT_Cry2Ac9,100,Bacillus thuringiensis,all
BT_Cry1Ia12,100,Bacillus thuringiensis,all
BT_Cry1Ib11,100,Bacillus thuringiensis,all
BT_Cry3Aa9,100,Bacillus thuringiensis,all
BT_Cry1Ac17,100,Bacillus thuringiensis,all
BT_Cry8Ca3,100,Bacillus thuringiensis,all
NOV_Cry8Ca1_99.8_AYF84850.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ia29,100,Bacillus thuringiensis,all
NOV_Cry8Ea3_99.9_AFM73687.1,99.9,Bacillus thuringiensis,all
NOV_Cry2Aa1_99.2_AJA30268.1,99.2,Bacillus thuringiensis,all
BT_Cry8Fa4,100,Bacillus thuringiensis,all
BT_Cry1Ia25,100,Bacillus thuringiensis,all
NOV_Cry11Aa1_97.8_ABW89740.1,97.8,Bacillus thuringiensis,all
BT_Cry20Ba1,100,Bacillus thuringiensis,all
NOV_Cry7Cb1_99.9_AFI42039.1,99.9,Bacillus thuringiensis,all
NOV_Cry56Aa4_56.4_PER37538.1,56.4,Bacillus thuringiensis,all
BT_Cry1Ac3,100,Bacillus thuringiensis,all
NOV_Cry69Ab1_99.9_WP_080990951.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ia16,100,Bacillus thuringiensis,all
BT_Cry1Ib6,100,Bacillus thuringiensis,all
NOV_Cry73Ba1_39.2_PFK99360.1,39.2,Bacillus thuringiensis,all
BT_Cry2Aa5,100,Bacillus thuringiensis,all
BT_Cry4Ca2,100,Bacillus thuringiensis,all
BT_Cry1Aa11,100,Bacillus thuringiensis,all
BT_Cry2Ac7,100,Bacillus thuringiensis,all
BT_Cry9Aa2,100,Bacillus thuringiensis,all
BT_Cry4Ba6,100,Bacillus thuringiensis,all
NOV_Cry1Ia14_99.2_AQY42680.1,99.2,Bacillus thuringiensis,all
BT_Cry1Ab31,100,Bacillus thuringiensis,all
NOV_Cry73Ba1_39.0_PGU92045.1,39,Bacillus thuringiensis,all
NOV_Cry1Ea11_98.1_AEV45789.1,98.1,Bacillus thuringiensis,all
NOV_Cry1Ca1_99.9_BAM67040.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab29,100,Bacillus thuringiensis,all
BT_Cry2Ab18,100,Bacillus thuringiensis,all
BT_Cry2Ab33,100,Bacillus thuringiensis,all
BT_Cry1Ab26,100,Bacillus thuringiensis,all
NOV_Cry1Ia28_99.7_AIQ81197.1,99.7,Bacillus thuringiensis,all
BT_Cry9Ba2,100,Bacillus thuringiensis,all
NOV_Cry1Ca8_97.8_ETE96169.1,97.8,Bacillus thuringiensis,all
BT_Cry32Aa2,100,Bacillus thuringiensis,all
BT_Cry8Pa3,100,Bacillus thuringiensis,all
NOV_Cry1Ia7_99.8_AAX58605.1,99.8,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.0_AKJ79185.1,99,Bacillus thuringiensis,all
BT_Cry8Ga2,100,Bacillus thuringiensis,all
BT_Cry8Fa3,100,Bacillus thuringiensis,all
BT_Cry2Ah5,100,Bacillus thuringiensis,all
BT_Cry1Na3,100,Bacillus thuringiensis,all
BT_Cry1Ia3,100,Bacillus thuringiensis,all
BT_Cry2Ab30,100,Bacillus thuringiensis,all
BT_Cry56Aa3,100,Bacillus thuringiensis,all
NOV_Cry48Aa1_37.2_CAH33949.1,37.2,Bacillus thuringiensis,all
BT_Cry1Ia32,100,Bacillus thuringiensis,all
NOV_Cry2Ab16_99.8_AIE37434.1,99.8,Bacillus thuringiensis,all
NOV_Cry2Ab4_98.1_OTZ46143.1,98.1,Bacillus thuringiensis,all
BT_Cry1Aa4,100,Bacillus thuringiensis,all
NOV_Cry8Ca1_99.5_AGV52971.1,99.5,Bacillus thuringiensis,all
BT_Cry8Ka2,100,Bacillus thuringiensis,all
BT_Cry1Aa18,100,Bacillus thuringiensis,all
BT_Cry1Ib7,100,Bacillus thuringiensis,all
BT_Cry2Aa17,100,Bacillus thuringiensis,all
BT_Cry1Ia17,100,Bacillus thuringiensis,all
BT_Cry1Ib3,100,Bacillus thuringiensis,all
BT_Cry2Ad2,100,Bacillus thuringiensis,all
BT_Cry8Ib3,100,Bacillus thuringiensis,all
NOV_Cry1Hb1_98.0_AMR88562.1,98,Bacillus thuringiensis,all
NOV_Cry68Aa1_80.1_PER38368.1,80.1,Bacillus thuringiensis,all
NOV_Cry7Ab3_99.8_OTZ77559.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ac35,100,Bacillus thuringiensis,all
NOV_Cry2Aa1_99.8_AYN72234.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ia15,100,Bacillus thuringiensis,all
BT_Cry1Ad2,100,Bacillus thuringiensis,all
BT_Cry1Ab30,100,Bacillus thuringiensis,all
BT_Cry1Ia23,100,Bacillus thuringiensis,all
NOV_Cry1Ab35_99.6_OTW51788.1,99.6,Bacillus thuringiensis,all
BT_Cry43Aa2,100,Paenibacillus lentimorbus,all
NOV_Cry32Ma1_37.1_PFE13212.1,37.1,Bacillus thuringiensis,all
BT_Cry9Da2,100,Bacillus thuringiensis,all
BT_Cry54Ba2,100,Bacillus thuringiensis,all
BT_Cry1Ga1,100,Bacillus thuringiensis,all
BT_Cry1Ie5,100,Bacillus thuringiensis,all
NOV_Cry8Aa1_46.1_OTZ58098.1,46.1,Bacillus thuringiensis,all
NOV_Cry9Ba2_99.6_OTY56302.1,99.6,Bacillus thuringiensis,all
NOV_Cry1Aa12_99.9_OUA35577.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ea11,100,Bacillus thuringiensis,all
NOV_Cry1Ia14_99.9_WP_103597599.1,99.9,Bacillus thuringiensis,all
NOV_Cry4Aa1_98.5_ABR12214.1,98.5,Bacillus thuringiensis,all
BT_Cry69Aa2,100,Bacillus thuringiensis,all
BT_Cry1Ab7,100,Bacillus thuringiensis,all
BT_Cry61Aa3,100,Bacillus thuringiensis,all
BT_Cry1Ba3,100,Bacillus thuringiensis,all
NOV_Cry70Ba1_97.3_PER34669.1,97.3,Bacillus thuringiensis,all
NOV_Cry1Ab35_99.9_OTY90981.1,99.9,Bacillus thuringiensis,all
NOV_Cry11Aa1_99.5_ABW89737.1,99.5,Bacillus thuringiensis,all
NOV_Cry11Aa1_99.8_AXJ97551.1,99.8,Bacillus thuringiensis,all
NOV_Cry1Ac11_99.8_ACB05715.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ia7,100,Bacillus thuringiensis,all
NOV_Cry54Aa1_94.0_AFU17297.1,94,Bacillus thuringiensis,all
BT_Cry1Fa3,100,Bacillus thuringiensis,all
BT_Cry1Ac30,100,Bacillus thuringiensis,all
BT_Cry2Ab22,100,Bacillus thuringiensis,all
BT_Cry8Pa2,100,Bacillus thuringiensis,all
NOV_Cry73Ba1_39.2_PFB88478.1,39.2,Bacillus thuringiensis,all
BT_Cry2Aa4,100,Bacillus thuringiensis,all
NOV_Cry9Ba2_99.9_OTZ46996.1,99.9,Bacillus thuringiensis,all
BT_Cry4Ba2,100,Bacillus thuringiensis,all
NOV_Cry11Aa1_97.7_AXJ97552.1,97.7,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.9_AAZ06794.1,99.9,Bacillus thuringiensis,all
NOV_Cry2Ah4_96.0_ACQ99192.1,96,Bacillus thuringiensis,all
BT_Cry31Ac2,100,Bacillus thuringiensis,all
NOV_Cry8Ca1_99.7_AGV52973.1,99.7,Bacillus thuringiensis,all
BT_Cry1Id3,100,Bacillus thuringiensis,all
NOV_Cry8Pa2_99.7_AEZ02302.1,99.7,Bacillus thuringiensis,all
BT_Cry2Aa11,100,Bacillus thuringiensis,all
NOV_Cry4Aa2_99.8_AND28677.1,99.8,Bacillus thuringiensis,all
NOV_Cry2Ad1_99.8_ABB55273.1,99.8,Bacillus thuringiensis,all
NOV_Cry1Bb1_99.9_EEM92927.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab8,100,Bacillus thuringiensis,all
NOV_Cry8Ea3_99.9_AEA51183.1,99.9,Bacillus thuringiensis,all
BT_Cry9Ea1,100,Bacillus thuringiensis,all
NOV_Cry2Ab4_96.7_OTW63083.1,96.7,Bacillus thuringiensis,all
BT_Cry9Aa5,100,Bacillus thuringiensis,all
NOV_Cry1Gb2_99.9_EXY04468.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab31,100,Bacillus thuringiensis,all
NOV_Cry67Aa1_99.0_ALL11835.1,99,Bacillus thuringiensis,all
BT_Cry1Ia22,100,Bacillus thuringiensis,all
NOV_Cry9Db1_99.9_ACS12637.1,99.9,Bacillus thuringiensis,all
BT_Cry1Da4,100,Bacillus thuringiensis,all
NOV_Cry8Fa1_99.9_ABB29864.1,99.9,Bacillus thuringiensis,all
NOV_Cry30Ga2_97.1_AKR12899.1,97.1,Bacillus thuringiensis,all
BT_Cry2Ab10,100,Bacillus thuringiensis,all
BT_Cry1Ab36,100,Bacillus thuringiensis,all
BT_Cry2Ad1,100,Bacillus thuringiensis,all
NOV_Cry28Aa2_99.7_ADY24870.1,99.7,Bacillus thuringiensis,all
NOV_Cry4Ba1_98.5_ABR22238.1,98.5,Bacillus thuringiensis,all
BT_Cry1Ia24,100,Bacillus thuringiensis,all
BT_Cry1Bf2,100,Bacillus thuringiensis,all
NOV_Cry5Ba1_99.8_PDY40352.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ba2,100,Bacillus thuringiensis,all
BT_Cry1Jc1,100,Bacillus thuringiensis,all
NOV_Cry9Da4_99.7_OTW84346.1,99.7,Bacillus thuringiensis,all
NOV_Cry11Ba1_98.6_AEK06469.1,98.6,Bacillus thuringiensis,all
BT_Cry1Ab22,100,Bacillus thuringiensis,all
BT_Cry1Ab35,100,Bacillus thuringiensis,all
NOV_Cry2Aa1_97.8_ALV82138.1,97.8,Bacillus thuringiensis,all
NOV_Cry1Aa12_99.5_AFX69046.1,99.5,Bacillus thuringiensis,all
BT_Cry7Ab9,100,Bacillus thuringiensis,all
NOV_Cry2Ab18_98.2_AXE42970.1,98.2,Bacillus thuringiensis,all
NOV_Cry9Ba2_99.9_OTY81209.1,99.9,Bacillus thuringiensis,all
NOV_Cry1Fb3_99.9_PNK40066.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ab21,100,Bacillus thuringiensis,all
NOV_Cry1Be1_99.6_AAS93797.1,99.6,Bacillus thuringiensis,all
NOV_Cry11Bb1_99.7_OUC03368.1,99.7,Bacillus thuringiensis,all
NOV_Cry8Ea3_98.7_AGF70692.1,98.7,Bacillus thuringiensis,all
BT_Cry2Ab36,100,Bacillus thuringiensis,all
BT_Cry1Ac21,100,Bacillus thuringiensis,all
BT_Cry1Ab32,100,Bacillus thuringiensis,all
BT_Cry1Ie2,100,Bacillus thuringiensis,all
BT_Cry3Aa12,100,Bacillus thuringiensis,all
BT_Cry1Ia8,100,Bacillus thuringiensis,all
NOV_Cry26Aa1_95.4_ABB51652.1,95.4,Bacillus thuringiensis,all
BT_Cry9Eb2,100,Bacillus thuringiensis,all
NOV_Cry8Ga1_93.6_ABB29865.1,93.6,Bacillus thuringiensis,all
BT_Cry1Ia31,100,Bacillus thuringiensis,all
NOV_Cry1Da1_99.8_ACV81776.1,99.8,Bacillus thuringiensis,all
BT_Cry31Aa5,100,Bacillus thuringiensis,all
NOV_Cry71Aa1_99.8_AFM73704.1,99.8,Bacillus thuringiensis,all
NOV_Cry26Aa1_95.5_OTX75968.1,95.5,Bacillus thuringiensis,all
BT_Cry3Ba2,100,Bacillus thuringiensis,all
BT_Cry1Ab23,100,Bacillus thuringiensis,all
BT_Cry4Ba4,100,Bacillus thuringiensis,all
NOV_Cry8Fa1_75.7_ABS53003.1,75.7,Bacillus thuringiensis,all
BT_Cry1Ja3,100,Bacillus thuringiensis,all
BT_Cry1Aa19,100,Bacillus thuringiensis,all
NOV_Cry2Ac6_99.4_AUN50234.1,99.4,Bacillus thuringiensis,all
BT_Cry1Aa15,100,Bacillus thuringiensis,all
NOV_Cry7Ab4_99.8_EEM55953.1,99.8,Bacillus thuringiensis,all
NOV_Cry8Ia4_99.0_OTY74147.1,99,Bacillus thuringiensis,all
NOV_Cry1Ac5_99.7_ADD12104.1,99.7,Bacillus thuringiensis,all
BT_Cry2Af2,100,Bacillus thuringiensis,all
NOV_Cry1Da1_99.6_OUA22582.1,99.6,Bacillus thuringiensis,all
NOV_Cry1Ia14_99.6_OTX17809.1,99.6,Bacillus thuringiensis,all
BT_Cry1La3,100,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.8_ADB44078.1,99.8,Bacillus thuringiensis,all
BT_Cry31Ad2,100,Bacillus thuringiensis,all
BT_Cry1Ia6,100,Bacillus thuringiensis,all
NOV_Cry10Aa1_98.2_ABW89732.1,98.2,Bacillus thuringiensis,all
BT_Cry4Aa2,100,Bacillus thuringiensis,all
BT_Cry21Ca2,100,Bacillus thuringiensis,all
NOV_Cry1Ib11_99.9_KIP24195.1,99.9,Bacillus thuringiensis,all
BT_Cry1Fa4,100,Bacillus thuringiensis,all
BT_Cry1Ab6,100,Bacillus thuringiensis,all
BT_Cry1Ah1,100,Bacillus thuringiensis,all
BT_Cry1Ka1,100,Bacillus thuringiensis,all
BT_Cry8Ea4,100,Bacillus thuringiensis,all
BT_Cry9Ea8,100,Bacillus thuringiensis,all
NOV_Cry71Aa1_65.9_PER41598.1,65.9,Bacillus thuringiensis,all
BT_Cry8Ib2,100,Bacillus thuringiensis,all
NOV_Cry1Ai1_99.7_AAS93796.1,99.7,Bacillus thuringiensis,all
BT_Cry1Jc2,100,Bacillus thuringiensis,all
BT_Cry8Ma3,100,Bacillus thuringiensis,all
BT_Cry2Aa8,100,Bacillus thuringiensis,all
NOV_Cry40Aa1_67.9_ACC34440.1,67.9,Bacillus thuringiensis,all
BT_Cry7Fa2,100,Bacillus thuringiensis,all
BT_Cry2Aa1,100,Bacillus thuringiensis,all
BT_Cry2Ab4,100,Bacillus thuringiensis,all
NOV_Cry4Ba1_98.1_ABR22240.1,98.1,Bacillus thuringiensis,all
BT_Cry1Ca15,100,Bacillus thuringiensis,all
BT_Cry1Ac38,100,Bacillus thuringiensis,all
BT_Cry3Aa11,100,Bacillus thuringiensis,all
NOV_Cry9Ga1_58.2_PFW49142.1,58.2,Bacillus thuringiensis,all
BT_Cry9Ee2,100,Bacillus thuringiensis,all
BT_Cry1Ac34,100,Bacillus thuringiensis,all
BT_Cry1Ca2,100,Bacillus thuringiensis,all
BT_Cry9Ea3,100,Bacillus thuringiensis,all
BT_Cry3Bb2,100,Bacillus thuringiensis,all
BT_Cry1Aa21,100,Bacillus thuringiensis,all
BT_Cry1Ea9,100,Bacillus thuringiensis,all
BT_Cry1Ab14,100,Bacillus thuringiensis,all
BT_Cry7Ab3,100,Bacillus thuringiensis,all
BT_Cry1Ab20,100,Bacillus thuringiensis,all
BT_Cry1Ac6,100,Bacillus thuringiensis,all
NOV_Cry1Ca11_96.8_CBX51932.1,96.8,Bacillus thuringiensis,all
NOV_Cry4Aa1_99.1_ABM97547.1,99.1,Bacillus thuringiensis,all
NOV_Cry1Nb1_99.0_AMR88570.1,99,Bacillus thuringiensis,all
BT_Cry30Ea4,100,Bacillus thuringiensis,all
NOV_Cry1Ib7_99.3_AFC76323.1,99.3,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.0_CAA70925.1,99,Bacillus thuringiensis,all
NOV_Cry21Ga1_30.1_CAP40038.1,30.1,Bacillus thuringiensis,all
BT_Cry2Ab23,100,Bacillus thuringiensis,all
BT_Cry25Aa1,100,Bacillus thuringiensis,all
NOV_Cry53Ab1_39.7_CAH33956.1,39.7,Bacillus thuringiensis,all
BT_Cry1La2,100,Bacillus thuringiensis,all
NOV_Cry50Ba2_99.9_AKR13106.1,99.9,Bacillus thuringiensis,all
BT_Cry8Ma2,100,Bacillus thuringiensis,all
BT_Cry5Ba2,100,Bacillus thuringiensis,all
NOV_Cry69Ab1_99.8_ADV77223.1,99.8,Bacillus thuringiensis,all
BT_Cry8Ca4,100,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.9_OTZ08639.1,99.9,Bacillus thuringiensis,all
NOV_Cry9Ee2_98.9_OTW94166.1,98.9,Bacillus thuringiensis,all
BT_Cry3Aa8,100,Bacillus thuringiensis,all
BT_Cry24Aa1,100,Bacillus thuringiensis,all
NOV_Cry4Aa2_99.9_BAE79727.1,99.9,Bacillus thuringiensis,all
NOV_Cry2Ad2_98.1_EXY05362.1,98.1,Bacillus thuringiensis,all
NOV_Cry8Ca1_99.6_AGV52972.1,99.6,Bacillus thuringiensis,all
BT_Cry2Ab19,100,Bacillus thuringiensis,all
NOV_Cry1Ia11_96.7_AXE42967.1,96.7,Bacillus thuringiensis,all
BT_Cry1Fb2,100,Bacillus thuringiensis,all
BT_Cry9Ea11,100,Bacillus thuringiensis,all
BT_Cry2Ab17,100,Bacillus thuringiensis,all
NOV_Cry66Aa1_99.0_OUA92623.1,99,Bacillus thuringiensis,all
BT_Cry1Fb6,100,Bacillus thuringiensis,all
BT_Cry8Ba2,100,Bacillus thuringiensis,all
BT_Cry2Ab13,100,Bacillus thuringiensis,all
NOV_Cry30Ga2_99.2_ADK47393.1,99.2,Bacillus thuringiensis,all
BT_Cry31Aa2,100,Bacillus thuringiensis,all
BT_Cry1Ia33,100,Bacillus thuringiensis,all
BT_Cry1Ie1,100,Bacillus thuringiensis,all
BT_Cry8Ia2,100,Bacillus thuringiensis,all
NOV_Cry73Ba1_38.9_ANC11392.1,38.9,Bacillus cereus,all
BT_Cry30Ca2,100,Bacillus thuringiensis,all
NOV_Cry11Aa1_98.8_ABW89738.1,98.8,Bacillus thuringiensis,all
BT_Cry1Be3,100,Bacillus thuringiensis,all
BT_Cry1Ae1,100,Bacillus thuringiensis,all
BT_Cry28Aa1,100,Bacillus thuringiensis,all
BT_Cry1Ab19,100,Bacillus thuringiensis,all
BT_Cry1Aa14,100,Bacillus thuringiensis,all
NOV_Cry4Cb3_99.9_WP_080990953.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ac18,100,Bacillus thuringiensis,all
BT_Cry1Ac24,100,Bacillus thuringiensis,all
NOV_Cry31Aa1_99.3_ALD83784.1,99.3,Bacillus thuringiensis,all
BT_Cry11Aa1,100,Bacillus thuringiensis,all
NOV_Cry1Da3_99.9_AMR88578.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab5,100,Bacillus thuringiensis,all
NOV_Cry54Ba2_99.8_WP_080990974.1,99.8,Bacillus thuringiensis,all
NOV_Cry8Da1_99.1_CBL59397.1,99.1,Bacillus thuringiensis,all
BT_Cry1Ca16,100,Bacillus thuringiensis,all
BT_Cry1Ia5,100,Bacillus thuringiensis,all
BT_Cry2Ad4,100,Bacillus thuringiensis,all
BT_Cry10Aa3,100,Bacillus thuringiensis,all
NOV_Cry1Aa12_95.9_ETF00019.1,95.9,Bacillus thuringiensis,all
NOV_Cry8Ea3_99.7_AAY84151.1,99.7,Bacillus thuringiensis,all
BT_Cry1Ba6,100,Bacillus thuringiensis,all
NOV_Cry4Ba1_96.9_ABR22239.1,96.9,Bacillus thuringiensis,all
NOV_Cry1Ia9_99.7_AEV45788.1,99.7,Bacillus thuringiensis,all
BT_Cry1Ac37,100,Bacillus thuringiensis,all
NOV_Cry1Ca2_99.9_CAA00882.1,99.9,Bacillus thuringiensis,all
NOV_Cry1Ba1_99.9_AST05277.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ab17,100,Bacillus thuringiensis,all
BT_Cry9Da4,100,Bacillus thuringiensis,all
BT_Cry1Ac23,100,Bacillus thuringiensis,all
BT_Cry1Ac14,100,Bacillus thuringiensis,all
BT_Cry9Da3,100,Bacillus thuringiensis,all
BT_Cry1Bb2,100,Bacillus thuringiensis,all
NOV_Cry70Bb1_98.6_AGU12794.1,98.6,Bacillus mycoides,all
BT_Cry1Ab27,100,Bacillus thuringiensis,all
NOV_Cry4Aa1_98.1_ABR12215.1,98.1,Bacillus thuringiensis,all
BT_Cry3Ba3,100,Bacillus thuringiensis,all
BT_Cry8Ia1,100,Bacillus thuringiensis,all
BT_Cry3Aa1,100,Bacillus thuringiensis,all
NOV_Cry4Ba1_99.6_ABR22235.1,99.6,Bacillus thuringiensis,all
BT_Cry1Aa12,100,Bacillus thuringiensis,all
BT_Cry1Ia21,100,Bacillus thuringiensis,all
NOV_Cry1Ba1_99.8_ERH97550.1,99.8,Bacillus thuringiensis,all
BT_Cry2Ac11,100,Bacillus thuringiensis,all
BT_Cry1Ah3,100,Bacillus thuringiensis,all
NOV_Cry2Ab4_98.3_WP_087988123.1,98.3,Bacillus thuringiensis,all
NOV_Cry2Ab18_96.8_AXE42968.1,96.8,Bacillus thuringiensis,all
BT_Cry2Ba1,100,Bacillus thuringiensis,all
BT_Cry2Ad3,100,Bacillus thuringiensis,all
BT_Cry54Aa2,100,Bacillus thuringiensis,all
BT_Cry1Ia30,100,Bacillus thuringiensis,all
NOV_Cry7Ha1_99.2_AGM39663.1,99.2,Bacillus thuringiensis,all
BT_Cry1Ab33,100,Bacillus thuringiensis,all
BT_Cry1Aa22,100,Bacillus thuringiensis,all
NOV_Cry1Ac5_99.9_AHK23266.1,99.9,Bacillus thuringiensis,all
BT_Cry7Ea1,100,Bacillus thuringiensis,all
BT_Cry1Aa24,100,Bacillus thuringiensis,all
BT_Cry1Ac28,100,Bacillus thuringiensis,all
NOV_Cry1Aa11_99.8_ADD14591.1,99.8,Bacillus thuringiensis,all
NOV_Cry8Ea3_99.9_ABB29863.1,99.9,Bacillus thuringiensis,all
NOV_Cry2Ad1_99.7_WP_103595482.1,99.7,Bacillus thuringiensis,all
BT_Cry1Ca12,100,Bacillus thuringiensis,all
BT_Cry1Da3,100,Bacillus thuringiensis,all
BT_Cry9Ea7,100,Bacillus thuringiensis,all
NOV_Cry8Fa1_99.9_AGV52976.1,99.9,Bacillus thuringiensis,all
BT_Cry11Bb2,100,Bacillus thuringiensis,all
NOV_Cry1Ac13_97.5_AXE42971.1,97.5,Bacillus thuringiensis,all
NOV_Cry9Ga1_57.2_PER39584.1,57.2,Bacillus thuringiensis,all
BT_Cry8Ca2,100,Bacillus thuringiensis,all
BT_Cry1Ab8,100,Bacillus thuringiensis,all
BT_Cry1Ea1,100,Bacillus thuringiensis,all
BT_Cry1Na2,100,Bacillus thuringiensis,all
BT_Cry9Aa4,100,Bacillus thuringiensis,all
BT_Cry2Aa18,100,Bacillus thuringiensis,all
NOV_Cry1Aa12_96.0_ERH96459.1,96,Bacillus thuringiensis,all
NOV_Cry9Ba2_99.7_EXY04443.1,99.7,Bacillus thuringiensis,all
NOV_Cry28Aa2_99.6_ADY25012.1,99.6,Bacillus thuringiensis,all
BT_Cry72Aa2,100,Bacillus thuringiensis,all
NOV_Cry7Ia1_99.9_AEH76815.1,99.9,Bacillus thuringiensis,all
NOV_Cry69Ab1_99.0_AKR13097.1,99,Bacillus thuringiensis,all
NOV_Cry9Eb3_95.6_OTW81421.1,95.6,Bacillus thuringiensis,all
NOV_Cry40Da1_66.9_PER55269.1,66.9,Bacillus thuringiensis,all
BT_Cry2Aa16,100,Bacillus thuringiensis,all
BT_Cry1Ca4,100,Bacillus thuringiensis,all
BT_Cry2Ab1,100,Bacillus thuringiensis,all
BT_Cry1Ac2,100,Bacillus thuringiensis,all
