Rec,Min_par,Maj_par,Unknown_flag,Type,start,stop,d1_start,d1_stop,d2_start,d2_stop,d3_start,d3_stop,Pval,r_min_1,r_min_2,r_min_3,r_maj_1,r_maj_2,r_maj_3
BT_Cry7Fb3,BT_Cry1Ab2;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ad1;BT_Cry1Ag1;NOV_Cry1Ab20_69.9_AAK14339.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1,BT_Cry7Fa1,minor,domain3,1314,1744,1,628,652,1273,1306,1744,6.01316607188517E-13,50.2199827378275,48.8522632599871,49.2924826485839,80.0859598853868,81.3138686131387,51.6071428571429
BT_Cry1Be1;BT_Cry1Bj1,BT_Cry1Bf1;BT_Cry1Ba1,BT_Cry1Bh1;BT_Cry1Bb1;BT_Cry1Bd1,no,domain1,1,460,1,604,628,1258,1282,1693,4.82568316314803E-19,89.0442606867143,66.9578140699032,64.5162680317978,72.7446752628241,79.7605579632498,61.6644214491821
BT_Cry1Gb1;BT_Cry1Ga2,BT_Cry1Ad1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ag1;NOV_Cry1Ab20_69.9_AAK14339.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1,BT_Cry1Hb1,no,domain3_partial,1369,1642,1,592,616,1204,1228,1642,5.83846637800936E-17,54.8818813484238,51.1596459884938,63.8112129380246,59.2203024467108,56.0055245110491,52.6815108499416
BT_Cry7Ia1,BT_Cry7Da1,BT_Cry8Ib1;BT_Cry8Ia3,no,domain3,1241,1645,1,613,637,1195,1225,1645,1.11548268667647E-18,52.6582278481013,47.7941176470588,68.8259109311741,57.331571994716,47.7272526677199,50.2746061569591
BT_Cry1Ja1;BT_Cry1Jb1;NOV_Cry1Jc1_99.1_AAS93799.1;BT_Cry1Jd1,BT_Cry1Ca11;BT_Cry1Cb1,BT_Cry1Aj1;BT_Cry1Ah2,no,domain1_partial,148,490,1,604,628,1201,1231,1636,3.33940989945503E-11,64.572956288143,52.1698663659302,52.944169097133,59.2361334837823,57.006713023771,52.3944013329213
NOV_Cry8Ja1_60.3_PEE68563.1,BT_Cry8Da1,BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1,minor,domain3,1303,1691,1,604,628,1255,1285,1708,3.59203630100518E-14,61.6310160427808,51.9119351100811,51.3562386980109,61.2667669366543,55.7132756782136,50.1365908849155
NOV_Cry2Ak1_76.8_AX513524.1,BT_Cry2Ba2,BT_Cry2Ae1;BT_Cry2Aa3;BT_Cry2Ab10;BT_Cry2Ab15;BT_Cry2Ad5;BT_Cry2Af1;BT_Cry2Ag1;BT_Cry2Ah3;BT_Cry2Ak1;BT_Cry2Al1;BT_Cry2Am1,major,domain1,1,446,1,574,589,1186,1225,1648,1.94439035338927E-11,89.6039603960396,56.953642384106,80.7692307692308,74.6575194652297,62.4262073689183,80.3687743403939
NOV_Cry32Ea2_41.9_AQM56938.1,BT_Cry32Aa1,BT_Cry32Ka1,no,domain1_partial,76,519,1,619,643,1342,1372,1816,5.93921757246961E-11,61.0817941952507,48.9702517162471,49.7142857142857,53.3807829181495,52.5309336332958,58.1818181818182
BT_Cry1Ea10,NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Eb1,no,domain2,462,1218,1,604,628,1216,1246,1648,4.91578866423525E-22,79.3768545994065,100,100,80.4511278195489,81.5789473684211,54.2857142857143
BT_Cry2Am1,BT_Cry2Al1,BT_Cry2Ag1;BT_Cry2Ab15,no,domain1,1,476,1,583,598,1213,1252,1675,8.20465356504882E-11,96.1148648648649,74.9644381223329,89.261744966443,84.8317134515489,94.469441319835,92.5299439347605
NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry19Ba1,BT_Cry4Da1,no,domain1,1,673,1,592,631,1240,1258,1666,2.88473967901253E-13,89.297124600639,68.4647302904564,55.5125725338491,68.3760683760684,75,62.3246492985972
NOV_Cry40Da1_77.3_ARJ25823.1,NOV_Cry40Da1_66.9_PER55269.1,NOV_Cry40Da1_81.5_AIN76756.1,minor,domain3_partial,1399,1660,1,640,664,1252,1279,1660,7.0200255419917E-10,68.8502673796791,69.3409742120344,70.9534368070954,95.1145038167939,96.4824120603015,71.7194570135747
BT_Cry3Bb1;BT_Cry3Ba1,BT_Cry8Da1,BT_Cry3Ca1,no,domain3,1326,1686,1,613,637,1255,1285,1699,9.07191544108343E-10,54.8633810877135,50.1738095079721,60.9343125254998,65.9157009429861,64.1398208307696,51.9342169524637
BT_Cry1Ca11;BT_Cry1Cb1,NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Dd1;BT_Cry1Da1,minor,domain1_partial,112,454,1,604,637,1225,1255,1696,2.47995254222405E-09,59.4986807387863,54.0275709688266,66.285544928144,60.6421105740512,54.2327494236859,52.8579323648691
NOV_Cry29Aa1_96.4_OUC03129.1;BT_Cry29Aa1,BT_Cry4Aa1,NOV_Cry4Ca2_48.4_AZJ24771.1,major,domain3_partial,1325,1625,1,607,628,1189,1222,1654,7.39676710039499E-15,50.5402160864346,50.5868837460754,61.3207547169811,52.2556390977444,49.6914727721495,52.9203539823009
BT_Cry8Ga1,BT_Cry9Fa1,BT_Cry8Na1,minor,domain3,1316,1696,1,598,622,1261,1288,1696,2.98550280982136E-09,53.030303030303,49.8216409036861,53.6178107606679,70.697012802276,50.3529411764706,56.1797752808989
BT_Cry32Ta1,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,no,domain1_partial,133,513,1,655,682,1288,1312,1729,7.59120597499086E-18,65.0375939849624,50,59.6116504854369,54.9435803029346,53.3711767082604,67.7283956539467
NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,minor,domain3,1280,1669,1,625,649,1237,1267,1669,1.66752770926974E-15,95.3051643192488,69.3409742120344,66.0377358490566,68.8251336898396,84.2126115605972,64.8421052631579
NOV_Cry21Aa2_44.6_AZR80772.1,BT_Cry21Ba1;BT_Cry21Aa1,BT_Cry21Fa1,major,domain3,1361,1672,1,628,640,1228,1234,1672,5.32723912299261E-15,52.1636286629854,50.6471169905518,57.7279314472938,51.3793103448276,50.571791613723,48.7562189054726
BT_Cry30Ea1,NOV_Cry30Ga2_64.5_ARJ25665.1,BT_Cry30Ca1;BT_Cry30Ba1,minor,domain2,761,1237,1,628,646,1270,1303,1762,2.0976397707346E-18,60.536398467433,69.4406548431105,54.2857142857143,69.4688056267095,68.7622060490802,67.1348670325032
BT_Cry30Aa1,NOV_Cry30Ga2_64.5_ARJ25665.1,BT_Cry30Fa1,minor,domain2,619,1203,1,631,655,1276,1306,1765,2.69412880982813E-14,61.9537275064267,75.2475247524752,53.7366548042705,79.9145299145299,73.6619718309859,78.1431334622824
BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Aa1;BT_Cry52Ba1,major,domain2,447,1214,1,592,631,1237,1267,1663,4.86848650518389E-18,69.753979739508,82.2556390977444,51.9553072625698,64.5701709734407,61.9146519277068,64.1564663223822
BT_Cry40Ba1,BT_Cry24Da1,NOV_Cry40Da1_66.9_PER55269.1,minor,domain3,1324,1702,1,646,670,1270,1306,1702,8.43911219478985E-07,52.6881720430108,50.5428226779252,54.2857142857143,64.3782383419689,66.7597765363129,52.9182879377432
NOV_Cry69Ab1_58.0_PER42111.1,BT_Cry69Aa1;BT_Cry69Ab1,NOV_Cry69Aa2_62.7_WP_103591151.1,no,domain3,1231,1690,1,589,613,1237,1270,1690,9.07191544108343E-10,62.6320701325667,52.1818213874327,61.6486862135151,73.3137829912023,62.8571428571429,53.8321167883212
BT_Cry54Ba1,NOV_Cry52Ca1_62.9_AZJ24464.1;BT_Cry52Aa1,BT_Cry54Ab1,minor,domain2,753,1198,1,682,706,1294,1321,1747,5.96859351070111E-07,51.5088981446422,51.0339496080941,51.7727850271262,71.267252195734,52.7415143603133,54.3956043956044
BT_Cry32Qa1,BT_Cry32Ja1,BT_Cry32Oa1,no,domain1_partial,106,511,1,664,688,1324,1354,1759,4.10260253427455E-10,62.9536921151439,55.0239234449761,53.2967032967033,60.3448275862069,54.8387096774194,51.8388791593695
NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,BT_Cry7Ca1,no,domain3,1285,1660,1,610,634,1273,1294,1720,2.02293818574207E-11,59.6330275229358,50.8971599214325,52.506264801454,78.8546255506608,75.8620689655172,53.0499075785582
BT_Cry65Aa2,NOV_Cry65Aa2_55.6_PDY37670.1,NOV_Cry32Ua1_65.2_AQM56939.1,major,domain3,1506,1905,1,814,844,1468,1501,1909,2.10948521840274E-16,50,51.3888888888889,93.8679245283019,50,48.7776484284051,49.4423791821561
BT_Cry9Da1,BT_Cry8Ac1;NOV_Cry8Ab1_80.0_AMR06151.1;NOV_Cry8Ab1_80.3_AFP44678.1,BT_Cry9Db1,minor,domain2_partial,817,1198,1,613,637,1297,1321,1735,3.17292618022046E-08,55.371013371073,51.7203165070833,51.6535030276518,92.4528301886793,55.0996483001172,82.0960698689956
BT_Cry8Fa2;BT_Cry8Qa1,NOV_Cry8Ba1_88.6_AEP25412.1;BT_Cry8Ba1;BT_Cry8Bb1,NOV_Cry8Db1_51.1_PNK22955.1,minor,domain1_partial,144,517,1,589,613,1276,1306,1720,1.75482008048421E-08,59.106391508254,51.7473832925114,53.2919042202484,57.9501371085569,56.9217905839979,50.5259131765156
BT_Cry2Ab10;BT_Cry2Ab15,BT_Cry2Ad5,BT_Cry2Ae1;BT_Cry2Ak1,no,domain1,1,467,1,580,595,1210,1249,1672,1.08415262737794E-06,96.437800351069,77.8951133197802,90.6967800316719,86.6992455923445,83.6230447211657,85.2688016402729
BT_Cry9Bb1,BT_Cry8Ad1,BT_Cry9Ba1,minor,domain3,1327,1715,1,601,625,1276,1306,1723,4.87017410341374E-09,55.440414507772,52.6315789473684,53.0499075785582,77.6141384388807,76.4468371467026,56.4971751412429
NOV_Cry8Db1_51.1_PNK22955.1,NOV_Cry8Ja1_60.3_PEE68563.1,NOV_Cry7Ba1_84.3_AFI42043.1;BT_Cry7Bb1,no,domain1,156,605,1,592,616,1267,1285,1726,8.85967448370899E-10,62.6702997275204,53.9759036144578,51.8453427065026,52.4975735795604,51.1471656795899,52.109915770161
BT_Cry14Ab1,NOV_Cry14Ab1_85.6_AXE15628.1,BT_Cry14Aa1,no,domain1,1,764,1,673,703,1312,1354,1780,1.21765095196989E-14,92.5501432664757,71.4870395634379,91.4606741573034,79.6791443850267,84.5801526717557,88.5714285714286
