"Cry"	"Sector"	"Color"	"two_rank"	"one_rank"	"Tox_type"
"264"	"NOV_Cry1Ha1_85.7_AIW52616.1"	263	"grey"	"Cry1H"	"Cry1"	"unaffected"
"265"	"NOV_Cry1Da1_83.2_AIW52615.1"	264	"#2980b9"	"Cry1D"	"Cry1"	"parent"
"266"	"BT_Cry1Db1"	265	"#bdbd00"	"Cry1D"	"Cry1"	"both"
"267"	"BT_Cry1Da1"	266	"#2980b9"	"Cry1D"	"Cry1"	"parent"
"268"	"BT_Cry1Ha1"	267	"grey"	"Cry1H"	"Cry1"	"unaffected"
"269"	"BT_Cry1Hb1"	268	"grey"	"Cry1H"	"Cry1"	"unaffected"
"270"	"NOV_Cry8Da1_43.7_ANC11094.1"	269	"#2980b9"	"Cry8D"	"Cry8"	"parent"
"271"	"NOV_Cry8Ha1_89.4_ABB29866.1"	270	"#2980b9"	"Cry8H"	"Cry8"	"parent"
"272"	"BT_Cry8Ha1"	271	"#2980b9"	"Cry8H"	"Cry8"	"parent"
"273"	"BT_Cry8Hb1"	272	"#2980b9"	"Cry8H"	"Cry8"	"parent"
"274"	"NOV_Cry8Ha1_89.8_ATY50148.1"	273	"#2980b9"	"Cry8H"	"Cry8"	"parent"
"275"	"BT_Cry1Ig1"	274	"#bdbd00"	"Cry1I"	"Cry1"	"both"
"276"	"BT_Cry1Ka2"	275	"#2980b9"	"Cry1K"	"Cry1"	"parent"
"277"	"BT_Cry1Fa1"	276	"#bdbd00"	"Cry1F"	"Cry1"	"both"
"278"	"BT_Cry3Bb1"	277	"#bdbd00"	"Cry3B"	"Cry3"	"both"
"279"	"BT_Cry3Ba1"	278	"#bdbd00"	"Cry3B"	"Cry3"	"both"
"280"	"BT_Cry8Da1"	279	"#2980b9"	"Cry8D"	"Cry8"	"parent"
"281"	"BT_Cry67Aa2"	280	"grey"	"Cry67A"	"Cry67"	"unaffected"
"282"	"BT_Cry19Aa1"	281	"#bdbd00"	"Cry19A"	"Cry19"	"both"
"283"	"NOV_Cry3Aa12_81.9_AEZ53144.1"	282	"#2980b9"	"Cry3A"	"Cry3"	"parent"
"284"	"BT_Cry3Aa10"	283	"#2980b9"	"Cry3A"	"Cry3"	"parent"
"285"	"BT_Cry3Ca1"	284	"#2980b9"	"Cry3C"	"Cry3"	"parent"
"286"	"NOV_Cry32Ta1_48.0_AQX37180.1"	285	"#a60b0b"	"Cry32T"	"Cry32"	"recombinant"
"287"	"BT_Cry9Aa1"	286	"#2980b9"	"Cry9A"	"Cry9"	"parent"
"288"	"BT_Cry9Ca1"	287	"#a60b0b"	"Cry9C"	"Cry9"	"recombinant"
"289"	"BT_Cry9Dc1"	288	"grey"	"Cry9D"	"Cry9"	"unaffected"
"290"	"BT_Cry9Ba1"	289	"grey"	"Cry9B"	"Cry9"	"unaffected"
"291"	"BT_Cry9Eb1"	290	"grey"	"Cry9E"	"Cry9"	"unaffected"
"292"	"BT_Cry9Da1"	291	"grey"	"Cry9D"	"Cry9"	"unaffected"
"293"	"BT_Cry9Db1"	292	"grey"	"Cry9D"	"Cry9"	"unaffected"
"294"	"BT_Cry9Bb1"	293	"#2980b9"	"Cry9B"	"Cry9"	"parent"
"295"	"BT_Cry9Ee1"	294	"#a60b0b"	"Cry9E"	"Cry9"	"recombinant"
"296"	"BT_Cry1Ba1"	295	"#2980b9"	"Cry1B"	"Cry1"	"parent"
"297"	"BT_Cry1Jb1"	296	"#2980b9"	"Cry1J"	"Cry1"	"parent"
"298"	"BT_Cry9Ea10"	297	"#2980b9"	"Cry9E"	"Cry9"	"parent"
"299"	"BT_Cry9Ec1"	298	"#2980b9"	"Cry9E"	"Cry9"	"parent"
"300"	"BT_Cry9Ed1"	299	"#2980b9"	"Cry9E"	"Cry9"	"parent"
"301"	"BT_Cry1Nb1"	300	"#2980b9"	"Cry1N"	"Cry1"	"parent"
"302"	"BT_Cry1Na1"	301	"#2980b9"	"Cry1N"	"Cry1"	"parent"
"303"	"NOV_Cry1Ga1_77.9_AX098669.1"	302	"#2980b9"	"Cry1G"	"Cry1"	"parent"
"304"	"BT_Cry1Ga2"	303	"#2980b9"	"Cry1G"	"Cry1"	"parent"
"305"	"BT_Cry1Gb1"	304	"#2980b9"	"Cry1G"	"Cry1"	"parent"
"306"	"BT_Cry1Ie4"	305	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"307"	"BT_Cry1Id1"	306	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"308"	"BT_Cry1Ia11"	307	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"309"	"BT_Cry1Ic1"	308	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"310"	"BT_Cry1Ia18"	309	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"311"	"BT_Cry1Ma1"	310	"#2980b9"	"Cry1M"	"Cry1"	"parent"
"312"	"NOV_Cry1Da1_84.8_ABK35074.1"	311	"#bdbd00"	"Cry1D"	"Cry1"	"both"
"313"	"BT_Cry1Ad1"	312	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"314"	"BT_Cry1Aa10"	313	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"315"	"BT_Cry1Ag1"	314	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"316"	"BT_Cry1Ab2"	315	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"317"	"NOV_Cry1Ab12_91.4_AAK14338.1"	316	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"318"	"BT_Cry1Ab12"	317	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"319"	"NOV_Cry1Ab32_92.7_AAK14337.1"	318	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"320"	"NOV_Cry1Ad2_87.7_AIW52617.1"	319	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"321"	"BT_Cry1A-like"	320	"#2980b9"	"Cry1A-like"	"Cry1A-like"	"parent"
"322"	"BT_Cry9Ga1"	321	"#bdbd00"	"Cry9G"	"Cry9"	"both"
"323"	"NOV_Cry1Ie5_79.3_PQQ47595.1"	322	"#2980b9"	"Cry1I"	"Cry1"	"parent"
"324"	"BT_Cry1Bb1"	323	"#2980b9"	"Cry1B"	"Cry1"	"parent"
"325"	"BT_Cry1Ja1"	324	"#2980b9"	"Cry1J"	"Cry1"	"parent"
"326"	"BT_Cry1Fb1"	325	"#2980b9"	"Cry1F"	"Cry1"	"parent"
"327"	"BT_Cry1Ca11"	326	"#2980b9"	"Cry1C"	"Cry1"	"parent"
"328"	"BT_Cry1Ea10"	327	"#2980b9"	"Cry1E"	"Cry1"	"parent"
"329"	"NOV_Cry1Ea10_93.2_AAX86871.1"	328	"#2980b9"	"Cry1E"	"Cry1"	"parent"
"330"	"BT_Cry1La1"	329	"grey"	"Cry1L"	"Cry1"	"unaffected"
"331"	"BT_Cry9Fa1"	330	"grey"	"Cry9F"	"Cry9"	"unaffected"
"332"	"BT_Cry1Cb1"	331	"#a60b0b"	"Cry1C"	"Cry1"	"recombinant"
"333"	"BT_Cry1Bf1"	332	"#2980b9"	"Cry1B"	"Cry1"	"parent"
"334"	"BT_Cry1Bg1"	333	"#2980b9"	"Cry1B"	"Cry1"	"parent"
"335"	"BT_Cry1Be1"	334	"#bdbd00"	"Cry1B"	"Cry1"	"both"
"336"	"BT_Cry1Eb1"	335	"#2980b9"	"Cry1E"	"Cry1"	"parent"
"337"	"BT_Cry8Ea2"	336	"#2980b9"	"Cry8E"	"Cry8"	"parent"
"338"	"BT_Cry41Ba1"	337	"grey"	"Cry41B"	"Cry41"	"unaffected"
"339"	"BT_Cry32Fa1"	338	"grey"	"Cry32F"	"Cry32"	"unaffected"
"340"	"BT_Cry32Da1"	339	"grey"	"Cry32D"	"Cry32"	"unaffected"
"341"	"BT_Cry32Ua1"	340	"grey"	"Cry32U"	"Cry32"	"unaffected"
"342"	"BT_Cry32Ia1"	341	"grey"	"Cry32I"	"Cry32"	"unaffected"
"343"	"NOV_Cry32Hb1_41.4_AQX37181.1"	342	"grey"	"Cry32H"	"Cry32"	"unaffected"
"344"	"BT_Cry32Oa1"	343	"#2980b9"	"Cry32O"	"Cry32"	"parent"
"345"	"BT_Cry8Kb1"	344	"grey"	"Cry8K"	"Cry8"	"unaffected"
"346"	"BT_Cry8Aa1"	345	"grey"	"Cry8A"	"Cry8"	"unaffected"
"347"	"NOV_Cry8Ab1_80.0_AMR06151.1"	346	"#a60b0b"	"Cry8A"	"Cry8"	"recombinant"
"348"	"BT_Cry8Ra1"	347	"#2980b9"	"Cry8R"	"Cry8"	"parent"
"349"	"BT_Cry8Ad1"	348	"grey"	"Cry8A"	"Cry8"	"unaffected"
"350"	"NOV_Cry21Aa2_44.6_AZR80772.1"	349	"#a60b0b"	"Cry21A"	"Cry21"	"recombinant"
"351"	"BT_Cry21Aa1"	350	"#2980b9"	"Cry21A"	"Cry21"	"parent"
"352"	"BT_Cry21Ba1"	351	"#2980b9"	"Cry21B"	"Cry21"	"parent"
"353"	"NOV_Cry7Ea2_99.9_AFI42038.1"	352	"#bdbd00"	"Cry7E"	"Cry7"	"both"
"354"	"NOV_Cry8Ca1_42.6_ABY46520.1"	353	"#2980b9"	"Cry8C"	"Cry8"	"parent"
"355"	"NOV_Cry8Ca1_41.2_AST51780.1"	354	"#2980b9"	"Cry8C"	"Cry8"	"parent"
"356"	"NOV_Cry4Ba1_63.7_AJW76684.1"	355	"#a60b0b"	"Cry4B"	"Cry4"	"recombinant"
"357"	"BT_Cry50Ba1"	356	"#bdbd00"	"Cry50B"	"Cry50"	"both"
"358"	"BT_Cry30Db1"	357	"#a60b0b"	"Cry30D"	"Cry30"	"recombinant"
"359"	"BT_Cry30Da1"	358	"#a60b0b"	"Cry30D"	"Cry30"	"recombinant"
"360"	"NOV_Cry4Ba1_63.8_OUB35623.1"	359	"#bdbd00"	"Cry4B"	"Cry4"	"both"
"361"	"BT_Cry4Ba1"	360	"#a60b0b"	"Cry4B"	"Cry4"	"recombinant"
"362"	"BT_Cry4Ba3"	361	"#a60b0b"	"Cry4B"	"Cry4"	"recombinant"
"363"	"BT_Cry50Aa1"	362	"#a60b0b"	"Cry50A"	"Cry50"	"recombinant"
"364"	"BT_Cry30Ga1"	363	"#2980b9"	"Cry30G"	"Cry30"	"parent"
"365"	"BT_Cry30Ca1"	364	"#2980b9"	"Cry30C"	"Cry30"	"parent"
"366"	"BT_Cry30Fa1"	365	"#2980b9"	"Cry30F"	"Cry30"	"parent"
"367"	"BT_Cry30Ea1"	366	"#2980b9"	"Cry30E"	"Cry30"	"parent"
"368"	"BT_Cry30Aa1"	367	"#2980b9"	"Cry30A"	"Cry30"	"parent"
